product;subsystem;system_element;function;failure_effect;severity;failure_mode;failure_cause;occurrence;detection;measure_type;measure_name
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit;Power unit;6;5;detective;Crankcase pressure monitoring
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit;Power unit;6;5;detective;Blow-By Filter differential pressure monitoring
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit;Turbocharger;3;4;preventive;GASENGDP031 Gas Engine Turbocharging
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit;Turbocharger;3;4;preventive;Turbocharger specification
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit;Turbocharger;3;4;detective;MCE Functional Testing (CCV System)
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit;Turbocharger;3;4;detective;Crankcase pressure monitoring
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit;Oil system (oil level sensor);2;4;preventive;Sensor specification
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit;Oil system (oil level sensor);2;4;preventive;GASENGDP010 Engine oil pan design
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit;Oil system (oil level sensor);2;4;detective;MCE Functional Testing (CCV System)
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit;Oil system (oil level sensor);2;4;detective;Crankcase pressure monitoring
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Crankcase design;6;5;preventive;GASENGDP046 Crankcase Ventilation System
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Crankcase design;6;5;preventive;Proof of Concept Test
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Crankcase design;6;5;detective;MCE Functional Testing (CCV System)
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Crankcase design;6;5;detective;Field Validation (Crankcase & Blow-by filter pressure monitoring)
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Crankcase design;6;5;detective;Crankcase pressure monitoring
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;CCV (blow-by) system design;3;2;preventive;GASENGDP046 Crankcase Ventilation System
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;CCV (blow-by) system design;3;2;detective;MCE Functional Testing (CCV System)
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;CCV (blow-by) system design;3;2;detective;Field Validation (Crankcase & Blow-by filter pressure monitoring)
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;CCV (blow-by) system design;3;2;detective;Crankcase pressure monitoring
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Design for maintenance;3;2;preventive;GASENGDP046 Crankcase Ventilation System
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Design for maintenance;3;2;preventive;Maintenance plan and instruction
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Design for maintenance;3;2;detective;MCE Functional Testing (CCV System)
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Design for maintenance;3;2;detective;Field Validation (Crankcase & Blow-by filter pressure monitoring)
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Design for maintenance;3;2;detective;Crankcase pressure monitoring
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Design for maintenance;3;2;detective;Blow-By Filter differential pressure monitoring
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Piping design;3;4;preventive;GASENGDP048 Piping
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Piping design;3;4;detective;MCE Functional Testing (CCV System)
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Piping design;3;4;detective;Field Validation (Crankcase & Blow-by filter pressure monitoring)
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Piping design;3;4;detective;Crankcase pressure monitoring
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Gasket & O-Ring design;2;2;preventive;O-Ring specification catalogues
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Gasket & O-Ring design;2;2;preventive;O-Ring calculation
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Gasket & O-Ring design;2;2;preventive;Gasket specification
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Gasket & O-Ring design;2;2;detective;MCE Functional Testing (CCV-System)
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Gasket & O-Ring design;2;2;detective;Field Validation (Daily Inspection)
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Insulation design;2;2;preventive;GASENGDP046 Crankcase Ventilation System
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Insulation design;2;2;preventive;Insulation specification
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Insulation design;2;2;detective;MCE Functional Testing (CCV-System)
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Insulation design;2;2;detective;Field Validation (Daily Inspection)
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Oil loading in filters;5;4;preventive;Supplier Specification
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Oil loading in filters;5;4;preventive;GASENGDP046 Crankcase Ventilation System
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Oil loading in filters;5;4;preventive;Test Bench Measurement
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Oil loading in filters;5;4;preventive;Endurance Testing
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Oil loading in filters;5;4;preventive;FPQ
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Oil loading in filters;5;4;preventive;Maintenance Plan Blow-By Filter
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Oil loading in filters;5;4;detective;Crankcase pressure monitoring
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Oil loading in filters;5;4;detective;Blow-By Filter differential pressure monitoring
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Oil deposit build up (residue on filter mesh and elements etc.);5;2;preventive;Maintenance Plan regarding filter and pre-separator
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Oil deposit build up (residue on filter mesh and elements etc.);5;2;preventive;Design according to GASENDP046
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Oil deposit build up (residue on filter mesh and elements etc.);5;2;detective;MCE functional testing (CCV (blow-by) system)
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Oil deposit build up (residue on filter mesh and elements etc.);5;2;detective;Field Validation (Crankcase & Blow-by filter pressure monitoring)
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Oil deposit build up (residue on filter mesh and elements etc.);5;2;detective;Crankcase pressure monitoring
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Oil deposit build up (residue on filter mesh and elements etc.);5;2;detective;Blow-by filter pressure monitoring
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Transient engine operation (start up, cool down);5;4;preventive;GASENGDP046 Crankcase Ventilation System
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Transient engine operation (start up, cool down);5;4;preventive;GASENGDP031 Gas Engine Turbocharging
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Transient engine operation (start up, cool down);5;4;preventive;GASENGDP007 Power Unit
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Transient engine operation (start up, cool down);5;4;detective;MCE functional testing (Blow-by flow measurement)
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Transient engine operation (start up, cool down);5;4;detective;Crankcase pressure monitoring
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Maintenance (oil & filter & oil level);2;4;preventive;Maintenance Plan and Instruction
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Maintenance (oil & filter & oil level);2;4;detective;Crankcase pressure monitoring
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Maintenance (oil & filter & oil level);2;4;detective;Blow-By Filter pressure monitoring
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Power unit;6;5;preventive;GASENGDP007 Power Unit
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Power unit;6;5;preventive;Design verification of power unit
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Power unit;6;5;detective;MCE Functional Testing (CCV System)
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Power unit;6;5;detective;Crankcase pressure monitoring
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Power unit;6;5;detective;Blow-By Filter differential pressure monitoring
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Turbocharger;3;4;preventive;GASENGDP031 Gas Engine Turbocharging
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Turbocharger;3;4;preventive;Turbocharger specification
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Turbocharger;3;4;detective;MCE Functional Testing (CCV System)
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Turbocharger;3;4;detective;Crankcase pressure monitoring
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Oil system (oil level sensor);2;4;preventive;Sensor specification
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Oil system (oil level sensor);2;4;preventive;GASENGDP010 Engine oil pan design
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Oil system (oil level sensor);2;4;detective;MCE Functional Testing (CCV System)
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Maintain a certain oil concentration limit  during the blow-by separation;Too much oil guided to the compressor (turbocharger);6;Exceeds the oil concentration limit over time;Oil system (oil level sensor);2;4;detective;Crankcase pressure monitoring
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Directs blow-by gas from crankcase to gas mixer;High pressure in Crankcase;4;Disturbance/hindrance of flow path;Crankcase design;6;5;preventive;GASENGDP046 Crankcase Ventilation System
Gas Engine Type 4;Engine Block;CCV (blow-by) system;Directs blow-by gas from crankcase to gas mixer;High pressure in Crankcase;4;Disturbance/hindrance of flow path;Crankcase design;6;5;preventive;Proof of Concept Test
