row_id,Product,Subsystem,SystemElement,Function,FailureMode,FailureCause,FailureEffect,PreventiveMeasure,DetectiveMeasure,SeverityRating,OccurrenceRating,DetectionRating
22,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Disturbance/hindrance of flow path,Turbocharger,High pressure in Crankcase,,,,,
23,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Disturbance/hindrance of flow path,Oil system (oil level sensor),High pressure in Crankcase,,,,,
24,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Disturbance/hindrance of flow path,Design for vibration,High pressure in Crankcase,,,,,
25,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Disturbance/hindrance of flow path,Assembly process / Design for assembly,High pressure in Crankcase,,,,,
26,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Disturbance/hindrance of flow path,Intake system (Gas mixer),High pressure in Crankcase,,,,,
27,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Disturbance/hindrance of flow path,Gear train,High pressure in Crankcase,,,,,
28,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Disturbance/hindrance of flow path over time,Oil deposit build up (residue on filter mesh and elements etc.),High pressure in Crankcase,,,,,
29,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Leakage of blow-by gas,Crankcase design,Oil/Blow-By Gas leakage to environment,,,,,
30,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Leakage of blow-by gas,CCV (blow-by) system design,Oil/Blow-By Gas leakage to environment,,,,,
31,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Leakage of blow-by gas,Piping design,Oil/Blow-By Gas leakage to environment,,,,,
32,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Leakage of blow-by gas,Gasket & O-Ring design,Oil/Blow-By Gas leakage to environment,,,,,
33,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Leakage of blow-by gas,Assembly process / Design for assembly,Oil/Blow-By Gas leakage to environment,,,,,
34,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Leakage of blow-by gas over time,O-Ring aging,Oil/Blow-By Gas leakage to environment,,,,,
35,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,System pressure exceeding limits leading to leakages,Sensor monitoring (function),Oil/Blow-By Gas leakage to environment,,,,,
36,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,System pressure exceeding limits leading to leakages,"Transient engine operation (start up, cool down)",Oil/Blow-By Gas leakage to environment,,,,,
37,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Too little oil draining over time,Crankcase design,Too much oil guided to the compressor (turbocharger),,,,,
38,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Too little oil draining over time,Maintenance (oil & filter & oil level),Too much oil guided to the compressor (turbocharger),,,,,
39,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Oil leakage to environment,Design for vibration,Oil leakage to environment,,,,,
40,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Structural support fails,Assembly process / Design for assembly,CCV assembly or parts breakage from engine,,,,,
41,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Blocking of gas flow path to filter,Oil loading in filters,High pressure in Crankcase,,,,,
42,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Condensation forming in filter over time,Air humidity (condensation),Reduced oil life (degradation due to water),,,,,
43,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Replacement not possible,Piping design,High service effort,,,,,
44,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Poor serviceability,Maintenance (oil & filter & oil level),High service effort,,,,,
45,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Local vibration exceeds sensor specification,Design for maintenance,Sensor failure,,,,,
46,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Lack of structure for support,CCV (blow-by) system design,Sensor failure,,,,,
47,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Cable breakage to initial support,Design for vibration,Sensor failure,,,,,
48,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Not exceed a specific pressure difference in system,System pressure exceeding limits leading to leakages,Crankcase design,Oil/Blow-By Gas leakage to environment,,,,,
49,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Not exceed a specific pressure difference in system,System pressure exceeding limits leading to leakages,CCV (blow-by) system design,Oil/Blow-By Gas leakage to environment,,,,,
50,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Not exceed a specific pressure difference in system,System pressure exceeding limits leading to leakages,Power unit,Oil/Blow-By Gas leakage to environment,,,,,
51,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Not exceed a specific pressure difference in system,System pressure exceeding limits leading to leakages,Turbocharger,Oil/Blow-By Gas leakage to environment,,,,,
52,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Not exceed a specific pressure difference in system,System pressure exceeding limits leading to leakages,Intake system (Gas mixer),Oil/Blow-By Gas leakage to environment,,,,,
53,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Not exceed a specific pressure difference in system,System pressure exceeding limits leading to leakages,Sensor monitoring (function),Oil/Blow-By Gas leakage to environment,,,,,
54,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Not exceed a specific pressure difference in system,System pressure exceeding limits leading to leakages (in Crankcase),"Transient engine operation (start up, cool down)",Oil/Blow-By Gas leakage to environment,,,,,
55,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Not exceed a specific pressure difference in system,System pressure exceeding limits leading to leakages over time,Crankcase design,Oil/Blow-By Gas leakage to environment,,,,,
56,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Not exceed a specific pressure difference in system,System pressure exceeding limits leading to leakages over time,CCV (blow-by) system design,Oil/Blow-By Gas leakage to environment,,,,,
57,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Not exceed a specific pressure difference in system,System pressure exceeding limits leading to leakages over time,"Transient engine operation (start up, cool down)",Oil/Blow-By Gas leakage to environment,,,,,
58,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Not exceed a specific pressure difference in system,System pressure exceeding limits leading to leakages over time,Power unit,Oil/Blow-By Gas leakage to environment,,,,,
59,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Not exceed a specific pressure difference in system,System pressure exceeding limits leading to leakages over time,Turbocharger,Oil/Blow-By Gas leakage to environment,,,,,
60,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Not exceed a specific pressure difference in system,System pressure exceeding limits leading to leakages over time,Oil loading in filters,Oil/Blow-By Gas leakage to environment,,,,,
61,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Not exceed a specific pressure difference in system,System pressure exceeding limits leading to leakages over time,Intake system (Gas mixer),Oil/Blow-By Gas leakage to environment,,,,,
62,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Not exceed a specific pressure difference in system,System pressure exceeding limits leading to leakages over time,Sensor monitoring (function),Oil/Blow-By Gas leakage to environment,,,,,
63,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs oil back to the crankcase,Too little oil draining over time,Crankcase design,Too much oil guided to the compressor (turbocharger),,,,,
64,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs oil back to the crankcase,Too little oil draining over time,CCV (blow-by) system design,Too much oil guided to the compressor (turbocharger),,,,,
65,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs oil back to the crankcase,Too little oil draining over time,Piping design,Too much oil guided to the compressor (turbocharger),,,,,
66,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs oil back to the crankcase,Too little oil draining over time,Insulation design,Too much oil guided to the compressor (turbocharger),,,,,
67,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs oil back to the crankcase,Too little oil draining over time,Maintenance (oil & filter & oil level),Too much oil guided to the compressor (turbocharger),,,,,
68,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs oil back to the crankcase,Too little oil draining over time,Oil loading in filters,Too much oil guided to the compressor (turbocharger),,,,,
69,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs oil back to the crankcase,Too little oil draining over time,Oil deposit build up (residue on filter mesh and elements etc.),Too much oil guided to the compressor (turbocharger),,,,,
70,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs oil back to the crankcase,Oil leakage to environment,CCV (blow-by) system design,Oil leakage to environment,,,,,
71,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs oil back to the crankcase,Oil leakage to environment,Piping design,Oil leakage to environment,,,,,
72,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs oil back to the crankcase,Oil leakage to environment,Gasket & O-Ring design,Oil leakage to environment,,,,,
73,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs oil back to the crankcase,Oil leakage to environment,Design for vibration,Oil leakage to environment,,,,,
74,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs oil back to the crankcase,Oil leakage to environment over time,CCV (blow-by) system design,Oil leakage to environment,,,,,
75,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs oil back to the crankcase,Oil leakage to environment over time,Piping design,Oil leakage to environment,,,,,
76,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs oil back to the crankcase,Oil leakage to environment over time,Gasket & O-Ring design,Oil leakage to environment,,,,,
77,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs oil back to the crankcase,Oil leakage to environment over time,Maintenance (oil & filter & oil level),Oil leakage to environment,,,,,
78,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs oil back to the crankcase,Oil leakage to environment over time,Design for vibration,Oil leakage to environment,,,,,
79,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs oil back to the crankcase,Oil leakage to environment over time,O-Ring aging,Oil leakage to environment,,,,,
80,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides structural support for filters and separators,Structural support fails,CCV (blow-by) system design,CCV assembly or parts breakage from engine,,,,,
81,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides structural support for filters and separators,Structural support fails,Design for maintenance,CCV assembly or parts breakage from engine,,,,,
82,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides structural support for filters and separators,Structural support fails,Piping design,CCV assembly or parts breakage from engine,,,,,
83,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides structural support for filters and separators,Structural support fails,"Transient engine operation (start up, cool down)",CCV assembly or parts breakage from engine,,,,,
84,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides structural support for filters and separators,Structural support fails,Maintenance (oil & filter & oil level),CCV assembly or parts breakage from engine,,,,,
85,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides structural support for filters and separators,Structural support fails,Design for vibration,CCV assembly or parts breakage from engine,,,,,
86,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides structural support for filters and separators,Structural support fails,Assembly process / Design for assembly,CCV assembly or parts breakage from engine,,,,,
87,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Distributes blow-by gas to filter system,Blocking of gas flow path to filter,CCV (blow-by) system design,High pressure in Crankcase,,,,,
88,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Distributes blow-by gas to filter system,Blocking of gas flow path to filter,Design for maintenance,High pressure in Crankcase,,,,,
89,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Distributes blow-by gas to filter system,Blocking of gas flow path to filter,Piping design,High pressure in Crankcase,,,,,
90,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Distributes blow-by gas to filter system,Blocking of gas flow path to filter,Insulation design,High pressure in Crankcase,,,,,
91,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Distributes blow-by gas to filter system,Blocking of gas flow path to filter,"Transient engine operation (start up, cool down)",High pressure in Crankcase,,,,,
92,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Distributes blow-by gas to filter system,Blocking of gas flow path to filter,Maintenance (oil & filter & oil level),High pressure in Crankcase,,,,,
93,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Distributes blow-by gas to filter system,Blocking of gas flow path to filter,Design for vibration,High pressure in Crankcase,,,,,
94,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Distributes blow-by gas to filter system,Blocking of gas flow path to filter,Assembly process / Design for assembly,High pressure in Crankcase,,,,,
95,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Distributes blow-by gas to filter system,Blocking of gas flow path to filter over time,CCV (blow-by) system design,High pressure in Crankcase,,,,,
96,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Distributes blow-by gas to filter system,Blocking of gas flow path to filter over time,Design for maintenance,High pressure in Crankcase,,,,,
97,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Distributes blow-by gas to filter system,Blocking of gas flow path to filter over time,Piping design,High pressure in Crankcase,,,,,
98,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Distributes blow-by gas to filter system,Blocking of gas flow path to filter over time,Insulation design,High pressure in Crankcase,,,,,
99,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Distributes blow-by gas to filter system,Blocking of gas flow path to filter over time,"Transient engine operation (start up, cool down)",High pressure in Crankcase,,,,,
100,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Distributes blow-by gas to filter system,Blocking of gas flow path to filter over time,Maintenance (oil & filter & oil level),High pressure in Crankcase,,,,,
101,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Distributes blow-by gas to filter system,Blocking of gas flow path to filter over time,Oil loading in filters,High pressure in Crankcase,,,,,
102,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Distributes blow-by gas to filter system,Blocking of gas flow path to filter over time,Oil deposit build up (residue on filter mesh and elements etc.),High pressure in Crankcase,,,,,
103,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Distributes blow-by gas to filter system,Blocking of gas flow path to filter over time,Design for vibration,High pressure in Crankcase,,,,,
104,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Distributes blow-by gas to filter system,Blocking of gas flow path to filter over time,Assembly process / Design for assembly,High pressure in Crankcase,,,,,
105,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Prevent condensation to oil,Condensation forming in filter over time,CCV (blow-by) system design,Reduced oil life (degradation due to water),,,,,
106,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Prevent condensation to oil,Condensation forming in filter over time,Design for maintenance,Reduced oil life (degradation due to water),,,,,
107,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Prevent condensation to oil,Condensation forming in filter over time,Piping design,Reduced oil life (degradation due to water),,,,,
108,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Prevent condensation to oil,Condensation forming in filter over time,Gasket & O-Ring design,Reduced oil life (degradation due to water),,,,,
109,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Prevent condensation to oil,Condensation forming in filter over time,Insulation design,Reduced oil life (degradation due to water),,,,,
110,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Prevent condensation to oil,Condensation forming in filter over time,"Transient engine operation (start up, cool down)",Reduced oil life (degradation due to water),,,,,
111,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Prevent condensation to oil,Condensation forming in filter over time,Air humidity (condensation),Reduced oil life (degradation due to water),,,,,
112,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Allow replacements of filters and separators,Replacement not possible,CCV (blow-by) system design,High service effort,,,,,
113,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Allow replacements of filters and separators,Replacement not possible,Design for maintenance,High service effort,,,,,
114,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Allow replacements of filters and separators,Replacement not possible,Piping design,High service effort,,,,,
115,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Allow replacements of filters and separators,Replacement not possible,Gasket & O-Ring design,High service effort,,,,,
116,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Allow replacements of filters and separators,Replacement not possible,Insulation design,High service effort,,,,,
117,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides installation space for sensors,Poor serviceability,CCV (blow-by) system design,High service effort,,,,,
118,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides installation space for sensors,Poor serviceability,Design for maintenance,High service effort,,,,,
119,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides installation space for sensors,Poor serviceability,Maintenance (oil & filter & oil level),High service effort,,,,,
120,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides installation space for sensors,Poor serviceability,Design for vibration,High service effort,,,,,
121,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides installation space for sensors,Poor serviceability,Assembly process / Design for assembly,High service effort,,,,,
122,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides installation space for sensors,Local vibration exceeds sensor specification,CCV (blow-by) system design,Sensor failure,,,,,
123,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides installation space for sensors,Local vibration exceeds sensor specification,Design for maintenance,Sensor failure,,,,,
124,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides installation space for sensors,Local vibration exceeds sensor specification,Maintenance (oil & filter & oil level),Sensor failure,,,,,
125,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides installation space for sensors,Local vibration exceeds sensor specification,Design for vibration,Sensor failure,,,,,
126,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides installation space for sensors,Local vibration exceeds sensor specification,Assembly process / Design for assembly,Sensor failure,,,,,
127,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides installation space for cable routing,Lack of structural support for cable routing,Insufficient CCV system design considerations for cable support structure,Sensor cable mechanical failure leading to sensor malfunction,,,,,
128,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides installation space for cable routing,Cable breakage due to mechanical stress or vibration,Design for vibration inadequate to withstand engine operational vibrations,Loss of sensor signal integrity causing sensor failure,,,,,
129,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides installation space for cable routing,Cable abrasion or wear at routing points,Inadequate cable protection or routing clearances causing rubbing contact,Intermittent sensor failures or communication errors,,,,,
130,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides installation space for cable routing,Poor cable retention leading to displacement or movement,Improper design for maintenance or assembly leading to unsecured cables,Cable loosening causes intermittent faults or complete sensor disconnection,,,,,
131,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides installation space for cable routing,Damage due to thermal exposure exceeding cable specification,Inadequate insulation design or proximity to high-heat engine components,Cable insulation degradation causing electrical short circuits or open circuits,,,,,
132,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides installation space for cable routing,Poor serviceability for cable replacements or inspections,Design not optimized for maintainability or accessibility of cable routing paths,Increased maintenance time and possible errors during service,,,,,
133,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides installation space for cable routing,Cable routing path obstruction,Interference from other engine block components or misalignment during assembly,Cable pinching or crush leading to cable damage and sensor failure,,,,,
134,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides installation space for cable routing,Connector failure at cable termination points,Design or assembly flaws in connector placement or sealing,Signal loss or erratic sensor behavior leading to engine control issues,,,,,
135,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides installation space for cable routing,Cable insulation moisture ingress,Poor sealing or gaps in insulation exposed to condensation or environmental moisture,Electrical insulation failure causing sensor faults or errors,,,,,
136,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Provides installation space for cable routing,Incorrect cable routing direction or path,Assembly process error or inadequate assembly instructions,Cable stress causing early failure or electrical performance degradation,,,,,
137,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Leakage crankcase (outside),Crankcase design,Oil leakage outside the crankcase resulting in loss of sealing,,,,,
138,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Leakage crankcase (outside),"Assembly process / Design for assembly (alignment, bolted joint)",Oil leakage outside the crankcase resulting in loss of sealing,,,,,
139,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Leakage crankcase (outside),Bolted joint design,Oil leakage outside the crankcase resulting in loss of sealing,,,,,
140,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Leakage crankcase (outside),Geometry tolerances,Oil leakage outside the crankcase resulting in loss of sealing,,,,,
141,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Leakage crankcase (outside),"Incorrect maintenance activity (alignment, bolted joint)",Oil leakage outside the crankcase resulting in loss of sealing,,,,,
142,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Leakage crankcase (outside),Not machined to spec,Oil leakage outside the crankcase resulting in loss of sealing,,,,,
143,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Leakage crankcase (outside),Nozzle holder,Oil leakage outside the crankcase resulting in loss of sealing,,,,,
144,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Leakage crankcase (outside),O-Ring design,Oil leakage outside the crankcase resulting in loss of sealing,,,,,
145,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Leakage crankcase (outside) over time,Crankcase design,"Progressive oil leakage outside crankcase over time, reduced sealing effectiveness",,,,,
146,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Leakage crankcase (outside) over time,O-Ring aging,"Progressive oil leakage outside crankcase over time, reduced sealing effectiveness",,,,,
147,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Leakage crankcase (outside) over time,"Assembly process / Design for assembly (alignment, bolted joint)","Progressive oil leakage outside crankcase over time, reduced sealing effectiveness",,,,,
148,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Leakage crankcase (outside) over time,Bolted joint design,"Progressive oil leakage outside crankcase over time, reduced sealing effectiveness",,,,,
149,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Leakage crankcase (outside) over time,Geometry tolerances,"Progressive oil leakage outside crankcase over time, reduced sealing effectiveness",,,,,
150,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Leakage crankcase (outside) over time,"Incorrect maintenance activity (alignment, bolted joint)","Progressive oil leakage outside crankcase over time, reduced sealing effectiveness",,,,,
151,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Leakage crankcase (outside) over time,Not machined to spec,"Progressive oil leakage outside crankcase over time, reduced sealing effectiveness",,,,,
