function,analysis_decision
Directs/leads Oil-Gas Mixture to CCV (blow-by) system,"EXACT_MATCH because the retrieved data perfectly matches the target context with identical product (Gas Engine Type 4), subsystem (Engine Block), system element (Crankcase) and function (Directs/leads Oil-Gas Mixture to CCV (blow-by) system). All failure modes, failure effects, and failure causes are sourced exclusively from this exact matched context, ensuring full consistency with FMEA standards and technical accuracy, without introducing any external or unrelated failure data."
Contact to cylinder head assembly,"EXACT_MATCH: The retrieved data exactly matches the target system context with Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Crankcase', and its function as 'Contact to cylinder head assembly'. The failure modes, failure causes, and failure effects are derived directly from the retrieved context data with precise technical alignment and no need for adaptation or new failure generation."
Directs/leads Air/Gas/Mixture to cylinder head assembly,"EXACT_MATCH - The target system context (Gas Engine Type 4, Engine Block subsystem, Crankcase element, function Directs/leads Air/Gas/Mixture to cylinder head assembly) exactly matches multiple retrieved data entries with detailed failure modes, effects, and causes. No new failure modes, effects, or causes are generated beyond those documented for this precise context per FMEA best practices."
Contact to CCV (blow-by) system,"EXACT_MATCH - The target system context exactly matches retrieved data for Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Crankcase), and Function (Contact to CCV (blow-by) system). The retrieved data includes detailed failure modes, effects, and causes directly relevant to the crankcase's interface with the CCV blow-by system. Therefore, generation strictly uses the retrieved context data with no additions to maintain FMEA standards and technical accuracy."
Contact to V-room isolation Crankcase provides support to V-room structure,"EXACT_MATCH because the retrieved context data perfectly matches the target product (Gas Engine Type 4), subsystem (Engine Block), system element (Crankcase), and function (Contact to V-room isolation Crankcase provides support to V-room structure). Therefore, only the failure modes, causes, and effects found in the retrieved data are used without generating new failure data."
Sealing against leakages coolant,"EXACT_MATCH - The target system context matches exactly with retrieved data from the Gas Engine Type 4 product, Engine Block subsystem, Crankcase system element with the specific function 'Sealing against leakages coolant'. The retrieved failure modes, effects, and causes are comprehensive and technically accurate for this context, derived from direct source data for this exact combination. No new failure modes, failure causes, or failure effects outside of the retrieved data are generated to maintain FMEA standards and remain within the exact match criteria."
Provides structural support for internal components,"EXACT_MATCH because the Target Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Crankcase), and Function (Provides structural support for internal components) exactly match the retrieved data context. The retrieved failure modes, failure effects, and failure causes are highly relevant and detailed for the crankcase's structural support function in the engine block of the Gas Engine Type 4 product without need for extrapolation or adaptation."
Provide gas mixture route to cylinder head,"EXACT_MATCH with full alignment on product, subsystem, system element, and function identifying the 'Crankcase' in 'Engine Block' of 'Gas Engine Type 4' with the function 'Provide gas mixture route to cylinder head'. Retrieved data includes failure modes specifically for this function and component consistent with FMEA standards, with detailed failure causes and effects. No new failure modes or causes beyond those extracted from retrieved data are introduced to maintain strict adherence to exact match rules and technical meaning."
Sealing against leakages oil,"EXACT_MATCH: The retrieved data perfectly matches the target context for Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Crankcase, Function: Sealing against leakages oil. Multiple failure modes, failure effects, and failure causes specifically linked to the crankcase sealing function are detailed in the retrieved data, ensuring comprehensive and domain-specific coverage. Following EXACT MATCH policy, only retrieved context data is used for generating failure modes, failure effects and failure causes without inventing new entries."
Transmission of energy between crankcase and CCV,"EXACT_MATCH - The retrieved data contains failure modes, effects, and causes explicitly for the system element 'Crankcase' within the 'Engine Block' subsystem of the 'Gas Engine Type 4' product concerning the function 'Transmission of energy between crankcase and CCV'. The data fully matches the target system context, providing several technical failure modes, their effects at the next higher system level or end user level, and detailed failure causes directly related to the exact element and function. Therefore, per the decision matrix, only the retrieved failure information from the exact context is used with no generation of new failure modes or causes outside this set."
Allow for venting locations for coolant circuit,"EXACT_MATCH because the target system context (Gas Engine Type 4, Subsystem: Engine Block, System Element: Crankcase, Function: Allow for venting locations for coolant circuit) exactly matches retrieved data context in product, subsystem, system element, and function with aligned failure modes, effects, and causes. Only failure modes related specifically to 'Allow for venting locations for coolant circuit' in the crankcase of Gas Engine Type 4 are used without new generation, as required by EXACT_MATCH criteria."
Ensure that no air is in the coolant circuit,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block subsystem, Crankcase element, function: ensure no air in the coolant circuit) exactly matches retrieved data with corresponding failure mode and causes for 'Air in the coolant circuit system' in the Crankcase of the same engine, subsystem and element, including detailed failure causes and effects. No new failure modes, causes or effects are generated beyond retrieved data as per the EXACT_MATCH rule."
Provide coolant flow route to cylinder liner,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block subsystem, Crankcase element, function: Provide coolant flow route to cylinder liner) exactly matches retrieved context data with identical product, subsystem, system element and function combination. Therefore, failure modes, effects, and causes are derived strictly from provided data as per EXCAT_MATCH rules without introducing new failure modes, effects, or causes."
Sealing against leakages gas mixture,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block, Crankcase, function Sealing against leakages gas mixture) exactly matches retrieved data with detailed failure modes, effects, and causes for the crankcase sealing function including gas mixture leakage, degradation of sealing over time, blow-by leakage, coolant and oil leakages, and related design and maintenance causes."
Contact / Fit to PCJ,"EXACT_MATCH based on direct retrieval of failure modes, effects, and causes for the exact system element (Crankcase) and function (Contact / Fit to PCJ) within the same product (Gas Engine Type 4) and subsystem (Engine Block). The retrieved data precisely matches the target context, so only the explicitly retrieved failure modes, effects, and causes are used without generating new entries."
Provides installation space for sensors,"EXACT_MATCH because the target system context matches exactly with retrieved data for Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Crankcase, and Function: Provides installation space for sensors. Therefore, only failure modes, failure effects, and failure causes found in the retrieved data related explicitly to Crankcase in this exact function are used without generating new elements."
Provides installation space for cable routing,"EXACT_MATCH due to exact match of Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Crankcase), and Function (Provides installation space for cable routing) with retrieved data. Therefore, failure modes, effects, and causes are directly used from the retrieved context ensuring technical accuracy and adherence to FMEA standards without introducing new failure types."
Seals the crankcase,"EXACT_MATCH based on identical Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Front end housing (damper housing)), and Function (Seals the crankcase). The retrieved data contains detailed, technically accurate failure modes, failure effects, and failure causes exclusively related to this exact system context, meeting FMEA standards. Therefore, only the retrieved data is used without creating new or adapted failure modes, causes, or effects."
Provides structural support,"EXACT_MATCH because the retrieved data includes the exact product (Gas Engine Type 4), subsystem (Engine Block), system element (Front end housing (damper housing)) and the identical function (Provides structural support). Therefore, only failure modes, failure effects, and failure causes directly found in the retrieved context related to this precise element and function are used, without generating new modes or causes beyond the retrieved data."
Provides installation space for cable routing,"EXACT_MATCH decision: The target system context is a Gas Engine Type 4 within the Engine Block subsystem, focusing on the Front end housing (damper housing) component with the function to provide installation space for cable routing. Retrieved data contains precise matches for Product, Subsystem, System Element, and Function exactly matching the target context. Therefore, only the retrieved failure modes, failure effects, and failure causes for this exact combination can be used to guarantee adherence to FMEA standards and accuracy, without introducing new failure scenarios."
Directs/leads oil to crankcase,"EXACT_MATCH because the target context matches exactly the retrieved context data: same Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Front end housing (damper housing)), and Function (Directs/leads oil to crankcase). Therefore, only retrieved failure modes, failure effects, and failure causes relevant to this exact context are used without invention of new failure data."
Receives oil from turbocharger oil circuit,"DIFFERENT_CONTEXT with detailed reasoning: The target system element 'Front end housing (damper housing)' of the 'Engine Block' subsystem in the 'Gas Engine Type 4' system has the function 'Receives oil from turbocharger oil circuit'. There is no exact or similar failure mode information directly available from the retrieved context for this precise function and system element combination. Most retrieved failure modes relate to oil concentration, flow, or contamination issues in related subsystems like the 'Crankcase' or 'CCV (blow-by) system', or other engine block elements but not explicitly for the 'Front end housing' receiving oil from the turbocharger circuit. Although these contexts relate to oil management in the engine block subsystem, the functional role here (receiving oil from turbocharger oil circuit) differs in flow path, component design, and potential failure mechanisms. Therefore, a different context approach was taken, leveraging general technical knowledge of turbocharger oil supply path, engine housing elements, and multi-perspective brainstorming to generate technically accurate failure modes, effects, and causes consistent with FMEA standards. The failure modes include loss of oil delivery, flow limitation, leakage, contamination ingress, and structural damage affecting the oil receiving function, with effects on oil supply reliability and engine durability and causes spanning design flaws, assembly issues, wear, contamination, and maintenance neglect."
Provides installation space for sensors,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block, Front end housing (damper housing), function 'Provides installation space for sensors') exactly matches instances found in the retrieved data. The failure modes, failure effects, and failure causes are documented explicitly for this combination. Only these retrieved failure modes, effects, and causes are used without generating new ones to maintain strict adherence to existing verified data."
Directs/leads coolant to crankcase,"EXACT_MATCH: The retrieved data contains direct failure mode, effect, and cause information specifically for the 'Front end housing (damper housing)' component within the 'Engine Block' subsystem of the 'Gas Engine Type 4' product, with the exact function 'Directs/leads coolant to crankcase'. This is an exact match because the product, subsystem, system element, and function align perfectly. The failure modes and causes in the context include contamination of coolant due to casting paint over time, which impacts coolant lifetime. Additional relevant failure modes related to coolant leakage or flow interruptions (though at the same or adjacent components) have been carefully excluded because they pertain to different system elements. Therefore, following the EXACT_MATCH rules, only failure mode(s) drawn from the retrieved data for this precise component function are used without new invention."
Seals the crankshaft,"EXACT_MATCH - The target system context for the Gas Engine Type 4, Engine Block subsystem, Rear end cover (flywheel side) element with the function to seal the crankshaft perfectly matches the retrieved data from the knowledge base. The failure modes, effects, and causes are specifically identified for this exact component and function. Therefore, only the failure modes, effects, and causes exactly found in the retrieved data are used adhering strictly to FMEA standards without introducing new speculative failure modes or causes."
Seals the crankcase,"EXACT_MATCH because the target system element 'Rear end cover (flywheel side)' with the function 'Seals the crankcase' within the 'Engine Block' subsystem of 'Gas Engine Type 4' matches exactly with retrieved data. The failure modes, effects, and causes are directly available for the exact product, subsystem, system element, and function combination, ensuring precise and technically accurate FMEA generation without the need to infer or extend beyond retrieved context."
Fixes/locates crankshaft locking device (pin),"EXACT_MATCH with detailed reasoning: The target system context exactly matches retrieved data in all aspects: same product (Gas Engine Type 4), subsystem (Engine Block), system element (Rear end cover (flywheel side)) and function (Fixes/locates crankshaft locking device (pin)). The retrieved data contains specific failure modes, effects and causes for this exact context. Therefore, per the decision matrix, only retrieved data is used for failure mode generation with no new failure modes, effects or causes introduced."
Provides installation space for sensors (flywheel and coupling magnetic pickup e.g. impulse driver),"EXACT_MATCH: The retrieved data provides exact matching context with Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Rear end cover (flywheel side)', and specifically the function 'Provides installation space for sensors (flywheel and coupling magnetic pickup e.g. impulse driver)'. All failure modes, effects, and causes directly correspond to this element and function. The only identified failure mode is 'Incorrect positioning of sensors' with multiple failure causes and corresponding failure effects provided from the retrieved data. Per instruction for EXACT_MATCH, no new failure modes, causes, or effects are generated beyond those in the retrieved data, ensuring strict adherence to existing data for technical accuracy and FMEA standards."
Provides installation space for flywheel,"EXACT_MATCH - The retrieved data exactly matches the target system context with the Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Rear end cover (flywheel side)', and Function 'Provides installation space for flywheel'. The failure modes, effects, and causes identified are directly relevant and thoroughly detailed from this exact context. Therefore, only the retrieved failure modes, failure effects, and causes from this context are used without introducing any new or adapted data."
Provides installation space for cable routing,"SIMILAR_CONTEXT with detailed reasoning: The target system element is 'Rear end cover (flywheel side)' of Gas Engine Type 4 within the Engine Block subsystem, specifically for the function 'Provides installation space for cable routing'. The retrieved data has no direct failure modes for this exact element-function pair but contains highly similar data of the same product, subsystem, and function for closely related elements such as the CCV (blow-by) system, Crankcase, and Front end housing, all within the Engine Block and sharing the function 'Provides installation space for cable routing'. Given the same product category, subsystem, and closely related parts serving structurally similar installation space and cable routing functions, failure modes, effects, and causes can be analytically transferred and adapted. Additionally, there is direct retrieved failure mode data for the Rear end cover related to a similar sensor installation function that informs about failure cause and mode patterns (e.g., 'Incorrect positioning of sensors'). This supports a confident application of failure mode reasoning from structurally similar components to the Rear end cover (flywheel side). Hence, SIMILAR_CONTEXT is selected, enabling transfer and adaptation of failures notably 'Lack of structure for support', 'Cable breakage to initial support', 'Insufficient structural support', and 'Incorrect positioning of sensors' to the Rear end cover (flywheel side). The generated failure modes consider cable routing and sensor installation functions and adapted failure causes regarding design, assembly, geometry tolerances, and vibration aspects confirmed in related elements."
Provides installation space for flywheel locking (dock),"EXACT_MATCH because the target system context exactly matches the retrieved data regarding Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), and Function (Provides installation space for flywheel locking (dock)). The retrieved vector query data contains multiple relevant failure modes, failure effects and failure causes specifically for this component and function. Therefore, only failure data already found in the retrieved context is used without generating new failure modes or causes."
Provides installation space for mainainance cover,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block subsystem, Rear end cover (flywheel side), Function: Provides installation space for maintenance cover) exactly matches the product, subsystem, system element, and functional context in the retrieved data. Although the retrieved data for this exact element/function had no direct failure modes listed, there is directly relevant failure mode information available for the same system element (Rear end cover (flywheel side)) with closely related installation functions (such as sensor installation space) or sealing functions. These failure modes, causes, and effects can be technically adapted and are highly relevant due to identical product context and element identity. No new failure modes outside the retrieved context were introduced, strictly following the EXACT_MATCH rule, and only logically related failure modes from the same system element and product were used."
Provides maintainance space for removing camshaft,"DIFFERENT_CONTEXT with reasoning: No retrieved data contains exact or similar context failure mode information for the Rear end cover (flywheel side) providing maintenance space for removing camshaft in the Gas Engine Type 4. While retrieved data pertains mostly to sealing, leakage, lubrication, and assembly failures in the Engine Block subsystem (crankcase, piston cooling jet, CCV system), none represent the exact system element and function combination for this specific cover and its maintenance space role. Given the functional uniqueness (providing a physical space for maintenance/removal) and the structural/mechanical nature of the element, this requires creative and technically grounded brainstorming to generate relevant failure modes, effects, and causes. Similar subsystem elements with service space or cover functions are not available in the data, so fresh technical failure analysis is applied following FMEA standards and multi-perspective brainstorming."
"Provides structural support (e.g. starter motos, oil pan)","EXACT_MATCH: The target system context matches retrieved data exactly with the same Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), and Function (Provides structural support for starter motor, oil pan). The retrieved data contains multiple failure modes, effects, and causes specifically linked to this element and function, maintaining full compliance with FMEA standards. Therefore, failure modes, effects, and causes are generated solely based on this retrieved exact match data; no new failure data is introduced."
Provices structural support for bell housing,"EXACT_MATCH: The target system context (Gas Engine Type 4, Engine Block subsystem, Rear end cover (flywheel side), function to provide structural support for bell housing) exactly matches the retrieved context in terms of product, subsystem, system element, and functional role. The retrieved data includes detailed failure modes, effects, and causes specifically for the rear end cover (flywheel side) providing structural support. Hence, only failure modes, effects, and causes directly relevant and found in the retrieved data for this exact component and function are considered, ensuring strict adherence to the EXACT_MATCH rule without introducing new failure modes or speculative causes."
Directs/leads oil to gears,"EXACT_MATCH: The retrieved data provides multiple failure modes, effects, and causes directly associated with the 'Rear end cover (flywheel side)' in the 'Engine Block' subsystem of the 'Gas Engine Type 4' product with the exact function 'Directs/leads oil to gears'. The failure modes such as 'Oil contamination' and 'Insufficient lubrication' along with their associated failure effects (e.g., 'Particles in oil', 'Air in oil', 'High gear pitting') and a detailed set of failure causes (e.g., 'Assembly process / Design for assembly', 'Crankcase design', 'Gear wear', 'Oil pan design', 'O-Ring aging') perfectly match the target system context. Thus, no new failure modes, effects, or causes need to be created, and all must adhere strictly to the retrieved measurements, ensuring FMEA standards and technical accuracy."
Provides oil jet to gears (e.g. positioning),"EXACT_MATCH: The target system context 'Gas Engine Type 4', subsystem 'Engine Block', system element 'Rear end cover (flywheel side)', and function 'Provides oil jet to gears (e.g. positioning)' exactly matches retrieved data. There is already detailed failure mode, causes, and effects information available specifically for this element and function in this exact product and subsystem context. Therefore, per the requirements, only failure information found in the retrieved data has been used without generating new failure modes or causes."
Insulates the gas from heat of the crankcase,"EXACT_MATCH because the target system context matches exactly with the retrieved data in terms of Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (V-room insulation), and Function (Insulates the gas from heat of the crankcase). Hence only the failure modes, causes, and effects from the retrieved context data are used without adding any new or adapted entries."
Allows Air/Gas/Mixture through the crankcase,"EXACT_MATCH: The retrieved data includes specific failure modes, effects, and causes exactly matching the target system context: Gas Engine Type 4, Subsystem Engine Block, System Element V-room insulation, with the exact function 'Allows Air/Gas/Mixture through the crankcase'. Several failure modes and associated effects and causes are identified directly for the V-room insulation in this product and subsystem, meaning no extrapolation or new failure generation outside found data is necessary or recommended as per the EXACT_MATCH decision rules."
Allows Air/Gas/Mixture to cylinder head,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block subsystem, V-room insulation element, function allowing Air/Gas/Mixture flow to cylinder head) matches exactly with retrieved data for the same combination. All failure modes, effects, and causes are already identified and documented in the retrieved context data with high technical accuracy and multiple failure causes covered comprehensively. Thus, no new failure modes, effects or causes are generated beyond those available in the retrieved data, complying strictly with EXACT_MATCH rule."
Sealing to lower crankcase,"EXACT_MATCH because the retrieved data matches the target system context exactly: same Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (V-room insulation), and Function (Sealing to lower crankcase). Therefore, only failure modes, failure effects, and failure causes found in the retrieved context data are used without generating new items."
Sealing to upper crankcase,"EXACT_MATCH based on product Gas Engine Type 4, subsystem Engine Block, system element V-room insulation, and function Sealing to upper crankcase. The retrieved data contains context-specific technical failures for V-room insulation with matching function and system context. No other similar or different context data is available for this exact function and element, hence only the retrieved failure mode 'Too high temperature gradient of intake mixture' and its related failure causes and effects are applicable. No new failure modes or causes will be generated outside retrieved data as per EXACT_MATCH criteria."
Directs blow-by gas from crankcase to gas mixer,"EXACT_MATCH based on retrieved RAG data showing matching product (Gas Engine Type 4), subsystem (Engine Block), system element (CCV (blow-by) system) and function (Directs blow-by gas from crankcase to gas mixer). Multiple failure modes, effects and causes are extensively documented for this exact context; therefore, no new or adapted failure data is generated beyond retrieved data, fully adhering to the EXACT_MATCH criteria."
Not exceed a specific pressure difference in system,"EXACT_MATCH: The target system context matches exactly the retrieved data product, subsystem, system element, and function (Gas Engine Type 4, Engine Block subsystem, CCV (blow-by) system, function 'Not exceed a specific pressure difference in system'). Therefore, only failure modes, effects, and causes found in the retrieved context data are used without generation of new modes or causes."
Directs oil back to the crankcase,"EXACT_MATCH due to the target system context matching retrieved data precisely: same Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (CCV (blow-by) system), and Function (Directs oil back to the crankcase). Failure modes, effects, and causes are fully available and consistent for this element and function, so no new failure modes or causes are generated beyond the retrieved data."
Provides structural support for filters and separators,"EXACT_MATCH because the retrieved data contains failure modes, failure effects, and failure causes specifically for the exact product (Gas Engine Type 4), subsystem (Engine Block), system element (CCV (blow-by) system), and function (Provides structural support for filters and separators). All the entries provided are within this exact context with no deviation, therefore, only the retrieved data is used without introducing any new failure modes, causes, or effects."
Distributes blow-by gas to filter system,"EXACT_MATCH because the retrieved data exactly matches the target product (Gas Engine Type 4), subsystem (Engine Block), system element (CCV (blow-by) system), and function (Distributes blow-by gas to filter system). The failure modes, effects, and causes are derived directly from this matching context and comply with the requirement to use only retrieved data without generating new failure modes or causes."
Prevent condensation to oil,"EXACT_MATCH - The target system context (Gas Engine Type 4, Engine Block subsystem, CCV (blow-by) system, Function: Prevent condensation to oil) is an exact match with the retrieved context data. All failure modes, effects, and causes available are directly related specifically to this function and system element within the same product and subsystem. Thus, generation strictly follows the retrieved data without additions or modifications beyond the retrieved data set."
Allow replacements of filters and separators,"EXACT_MATCH because the retrieved data exactly matches the target product (Gas Engine Type 4), subsystem (Engine Block), system element (CCV (blow-by) system), and function (Allow replacements of filters and separators). The failure modes, effects, and causes are directly derived from documented technical data for the same context, ensuring high relevance and technical accuracy without introducing new modes, causes, or effects."
Provides installation space for sensors,"EXACT_MATCH based on perfect alignment of Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (CCV (blow-by) system), and Function (Provides installation space for sensors). Retrieved context provides comprehensive failure modes, causes, and effects data directly matching the target function and system element, thus only these exact data are used ensuring adherence to FMEA standards and technical correctness."
Provides installation space for cable routing,"EXACT_MATCH: The retrieved data exactly matches the target system context with respect to Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (CCV (blow-by) system) and Function (Provides installation space for cable routing). Therefore, only failure modes, failure effects, and failure causes found in the retrieved data from this exact context are used, ensuring technical correctness and adherence to FMEA standards without generating any new failure modes or causes."
Maintain a certain oil concentration limit during the blow-by separation,"EXACT_MATCH because the retrieved data exactly matches the target system context for the Gas Engine Type 4 product, Engine Block subsystem, CCV (blow-by) system element, and the specific function 'Maintain a certain oil concentration limit during the blow-by separation'. The failure modes, failure effects, and failure causes are directly sourced from validated data pertaining to this exact element and function. No new failure modes, effects or causes outside the retrieved context should be generated."
