failure_cause,analysis_decision
"Assembly process / Design for assembly (alignment, bolted joint)","SIMILAR_CONTEXT: The target system is 'Gas Engine Type 6' and the retrieved data is from 'Gas Engine Type 4', same product category (Gas engines), same subsystem (Engine Block), same system element (Piston cooling jet (PCJ)), same failure mode (Closes not at the desired pressure), and same failure cause (Assembly process / Design for assembly (alignment, bolted joint)). Although the function is worded slightly differently ('Opens at a desired opening pressure' vs. 'Close at the desired pressure (minimize hysteresis)'), the failure mode and cause are the same, and the preventive and detective measures related to assembly/design for assembly are applicable. Thus, measures from the exact failure mode and failure cause in the retrieved data are transferable and relevant."
Carbon deposit from oil,"EXACT_MATCH because the target system context (Gas Engine Type 6, Engine Block subsystem, Piston cooling jet (PCJ), Function: Opens at a desired opening pressure, Failure Mode: Closes not at the desired pressure, Failure Cause: Carbon deposit from oil) matches closely with retrieved data from Gas Engine Type 4 for the same subsystem, system element, similar function, identical failure mode and failure cause. The retrieved data from Gas Engine Type 4 uses the same system element (Piston cooling jet), related functions (open/close at desired pressure), failure mode and cause. This justifies direct usage of provided measures without addition or modification, fulfilling MEASURE REQUIREMENTS."
Check-Valve design,"SIMILAR_CONTEXT: The target system 'Gas Engine Type 6' and the retrieved data from 'Gas Engine Type 4' share the same subsystem 'Engine Block', system element 'Piston cooling jet (PCJ)', failure mode ('Closes not at the desired pressure'), and failure cause ('Check-Valve design'). The function description is slightly different in wording but functionally equivalent regarding pressure behavior. Both belong to the automotive/gas engine product category and have sufficient context similarity to transfer measures. Therefore, applicable preventive and detective measures from 'Gas Engine Type 4' are transferred and verified as relevant for 'Gas Engine Type 6'."
Check-Valve wear,"SIMILAR_CONTEXT: The target system 'Gas Engine Type 6' and retrieved context data 'Gas Engine Type 4' share the same subsystem 'Engine Block' and system element 'Piston cooling jet (PCJ)' with the exact function 'Opens at a desired opening pressure', failure mode 'Closes not at the desired pressure' and failure cause 'Check-Valve wear'. The failure cause and failure mode combination matches exactly although the product version differs. Measures from 'Gas Engine Type 4' are applicable given the high similarity in product category, subsystem, system element and failure details."
Cleanliness,"SIMILAR_CONTEXT: The target system 'Gas Engine Type 6' with subsystem 'Engine Block' and system element 'Piston cooling jet (PCJ)' matches the failure mode 'Closes not at the desired pressure' and failure cause 'Cleanliness' exactly with retrieved data from 'Gas Engine Type 4'. Although the exact product differs (Type 6 vs. Type 4), the product category (gas engines), subsystem, system element, function, failure mode, failure cause, and failure effect are the same or equivalent in context. The minor difference in product type still falls under the same product category and functional context, allowing direct transfer of preventive and detective measures from retrieved data. The function phrasing differs slightly ('Opens at a desired opening pressure' vs. 'Close at the desired pressure (minimize hysteresis)'), but the failure behavior and cause are aligned (pressure-related closing function affected by cleanliness). Hence, SIMILAR_CONTEXT is justified with direct use of retrieved measures."
Geometry tolerances,"SIMILAR_CONTEXT because the target Gas Engine Type 6 with Engine Block subsystem and Piston cooling jet (PCJ) system element shares the same System Element, Function, Failure Mode, and Failure Cause (geometry tolerances causing the valve closing not at the desired pressure causing oil flow fluctuation) as retrieved context from Gas Engine Type 4, Engine Block, Piston cooling jet (PCJ). Functions differ slightly in wording but equivalent (Open vs Close at desired pressure), thus preventive and detective measures from Gas Engine Type 4 context are applicable and transferred."
Not machined to spec,"EXACT_MATCH because the context matches exactly: same product category (Gas Engine), same subsystem (Engine Block), same system element (Piston cooling jet (PCJ)), same function (Opens at a desired opening pressure), failure mode (Closes not at the desired pressure) and failure cause (Not machined to spec) as in the retrieved data for Gas Engine Type 4, Engine Block, Piston cooling jet (PCJ), with the same failure mode and failure cause."
Nozzle holder,"SIMILAR_CONTEXT - The target system 'Gas Engine Type 6' and the retrieved data 'Gas Engine Type 4' both belong to the same product category (gas engines) with identical subsystem (Engine Block), system element (Piston cooling jet (PCJ)), failure mode ('Closes not at the desired pressure'), failure cause ('Nozzle holder'), and failure effect ('Fluctuation of the oil flow rate to the piston'). The only minor discrepancy is a slightly differing function wording ('Opens at a desired opening pressure' vs. 'Close at the desired pressure (minimize hysteresis)') which is functionally equivalent in the PCJ operation context. Hence, the measures are directly transferable and applicable without modification."
Pressure fluctuation from the lubrication system,"SIMILAR_CONTEXT: The target system is 'Gas Engine Type 6', subsystem 'Engine Block', system element 'Piston cooling jet (PCJ)' with function 'Opens at a desired opening pressure' and failure mode 'Closes not at the desired pressure' caused by 'Pressure fluctuation from the lubrication system'. Retrieved data is from 'Gas Engine Type 4', same subsystem and system element, same failure mode and failure cause but function slightly differs in wording ('Close at desired pressure (minimize hysteresis)'). Given the very close system context, system element identity, and identical failure mode and failure cause, preventive and detective measures from the retrieved data are technically applicable and valid to transfer. Measures focus on pressure fluctuation impact on PCJ operation which relates logically to the function of opening at desired pressure as well."
Vibration,"SIMILAR_CONTEXT: The target system 'Gas Engine Type 6' with subsystem 'Engine Block' and system element 'Piston cooling jet (PCJ)', failure mode 'Closes not at the desired pressure', and failure cause 'Vibration' does not have an exact match in the retrieved data; however, highly similar context exists from 'Gas Engine Type 4' for the same subsystem and system element, same failure mode and failure cause vibration. Preventive and detective measures related to vibration effects on piston cooling jets or closely related components within the engine block are applicable and transferable with minor name or specification adaptations. The failure cause 'Vibration' corresponds strongly to general vibration-related preventive practices (FEA Modal Analysis) and detective practices (Hammer/Modal test) seen in exact context, plus additional broader vibration-related design and test measures applicable from engine block elements prone to vibration such as crankcase or bolted joints."
"Assembly process / Design for assembly (alignment, bolted joint)","SIMILAR_CONTEXT because the failure cause 'Assembly process / Design for assembly (alignment, bolted joint)' and failure mode 'Too little oil' in the 'Piston cooling jet (PCJ)' of the 'Engine Block' subsystem in a Gas Engine Type 6 is contextually equivalent to data retrieved for Gas Engine Type 4 in the same subsystem and system element with very similar failure mode and cause. The measures from Gas Engine Type 4 apply directly and are technically consistent for Gas Engine Type 6."
Carbon deposit from oil,"SIMILAR_CONTEXT since the target system 'Gas Engine Type 6' is a close variant of the retrieved system 'Gas Engine Type 4' with the same subsystem 'Engine Block', system element 'Piston cooling jet (PCJ)', function 'Directs oil to the piston gallery (e.g. bundling)', failure mode 'Too little oil', and failure cause 'Carbon deposit from oil'. The product type and subsystem match closely, so measures from Type 4 are applicable and technically valid for Type 6."
Check-Valve design,"SIMILAR_CONTEXT because the target system is 'Gas Engine Type 6' and retrieved preventive and detective measures are from similar subsystem 'Engine Block' with same System Element 'Piston cooling jet (PCJ)', same Function, same Failure Mode 'Too little oil', and same Failure Cause 'Check-Valve design' though from 'Gas Engine Type 4'. This applies within the same product category (gas engine) and subsystem context, so these measures are applicable and transferable."
Crankcase design,"EXACT_MATCH because the target context matches exactly the retrieved data with Product 'Gas Engine Type 4' vs requested 'Gas Engine Type 6' which are of the same product category and the exact same Subsystem 'Engine Block', System Element 'Piston cooling jet (PCJ)', Function 'Directs oil to the piston gallery (e.g. bundling)', Failure Mode 'Too little oil', and Failure Cause 'Crankcase design'. Measures found in the retrieved data for this exact context are applicable and directly transferable as they address the same failure cause in the same system element and function."
Geometry tolerances,"SIMILAR_CONTEXT: The target system is 'Gas Engine Type 6', subsystem 'Engine Block', system element 'Piston cooling jet (PCJ)', with function and failure mode/failure cause identical to retrieved data from 'Gas Engine Type 4'. The product differs but remains within the same product category (gas engines). The system element, function, failure mode, and failure cause are directly comparable; thus, measures from 'Gas Engine Type 4' are applicable with no contradictions or specificity limitations. Preventive measures specifically from exact matches exist for failure cause 'Geometry tolerances' for 'Too little oil' failure mode on PCJ, though detective measures were recorded as None. However, closely related data for similar failure causes and modes in engine blocks indicate relevant detective testing is MCE Functional Testing (Component Inspection). Applicable preventive measures from RAG for this failure cause include 'FPQ' and 'Component test rig'. No detective measures for the same failure mode and cause except a relevant functional testing listed. Therefore, based on exact and similar data applicability within the same product category and subsystem, these measures are recommended without adding any unverified or heuristic measures."
"Incorrect maintenance activity (alignment, bolted joint)","SIMILAR_CONTEXT: The target system 'Gas Engine Type 6' with subsystem 'Engine Block', system element 'Piston cooling jet (PCJ)', function 'Directs oil to the piston gallery', failure mode 'Too little oil' and failure cause 'Incorrect maintenance activity (alignment, bolted joint)' closely matches multiple entries in the retrieved context data from 'Gas Engine Type 4'. Although the products are different types, the subsystem, component, function, failure mode, and failure cause are highly similar or the same. The preventive and detective measures provided for 'Gas Engine Type 4' apply directly and are technically appropriate for the target system. No new measures beyond retrieved context are introduced."
Nozzle holder,"SIMILAR_CONTEXT: The target system is 'Gas Engine Type 6', subsystem 'Engine Block', and system element 'Piston cooling jet (PCJ)' with failure mode 'Too little oil' and failure cause 'Nozzle holder'. Retrieved data is from 'Gas Engine Type 4' with the exact same subsystem, element, function, failure mode and failure cause. Since both products belong to the same product category (gas engines) and subsystem, measures for 'Gas Engine Type 4' can be transferred and applied to the target system. Therefore, relevant preventive and detective measures from the retrieved data for the failure cause 'Nozzle holder' related to 'Too little oil' failure mode on 'Piston cooling jet (PCJ)' are applicable."
Nozzle wear,"SIMILAR_CONTEXT: The target system is 'Gas Engine Type 6' with the exact subsystem ('Engine Block'), system element ('Piston cooling jet (PCJ)'), function ('Directs oil to the piston gallery (e.g. bundling)'), failure mode ('Too little oil'), and failure cause ('Nozzle wear'). The retrieved context data is from 'Gas Engine Type 4', same subsystem and same element, identical function, failure mode, and failure cause. Given the product category (gas engine) is the same and the failure cause and mode are identical, the preventive and detective measures are highly applicable and transferable. Therefore, applicable measures from retrieved data are used without modification."
Piston gallery design,"SIMILAR_CONTEXT: The target system ('Gas Engine Type 6') has the same subsystem ('Engine Block'), system element ('Piston cooling jet (PCJ)'), function ('Directs oil to the piston gallery (e.g. bundling)'), failure mode ('Too little oil') and failure cause ('Piston gallery design') as extensively documented for the 'Gas Engine Type 4'. Since both products belong to the same product category (gas engines) and the system context, element identity, function, failure mode and cause match, the preventive and detective measures are transferable and applicable with verified technical correctness. The retrieved measures specifically address the failure cause 'Piston gallery design' and the failure mode 'Too little oil' in the correct system context, fulfilling FMEA standards."
Pressure fluctuation from the lubrication system,"SIMILAR_CONTEXT: The retrieved data contains multiple exact matches for the same system element 'Piston cooling jet (PCJ)' in the 'Engine Block' subsystem, same function 'Directs oil to the piston gallery (e.g. bundling)', same failure mode 'Too little oil', and exactly the same failure cause 'Pressure fluctuation from the lubrication system' but from the Gas Engine Type 4 instead of Gas Engine Type 6. Since both products belong to the same product category (Gas Engines) and share the same subsystem, system element, function, failure mode and cause with minor product version difference, the measures are transferred as applicable with no contradiction in context or applicability."
"Assembly process / Design for assembly (alignment, bolted joint)","SIMILAR_CONTEXT - The target system (Gas Engine Type 6) matches in product category (Gas Engine), subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (Directs oil to the piston gallery), failure mode (No oil), and failure cause (Assembly process / Design for assembly (alignment, bolted joint)) with retrieved data from Gas Engine Type 4. Although the product version differs (Type 6 vs. Type 4), the technical context and failure details are highly similar and applicable. Therefore, preventive and detective measures from Gas Engine Type 4 context are applicable and transferred without modification."
Carbon deposit from oil,"SIMILAR_CONTEXT because the failure cause 'Carbon deposit from oil' and failure mode 'No oil' on system element 'Piston cooling jet (PCJ)' within the same subsystem 'Engine Block' is found within Gas Engine Type 4, which is the same product category and very close context to the target 'Gas Engine Type 6', making the retrieved preventive and detective measures applicable and valid to transfer."
Check-Valve design,"SIMILAR_CONTEXT because the target system context is 'Gas Engine Type 6' but retrieved data is from 'Gas Engine Type 4', both belong to the same product category of gas engines, with matching subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (Directs oil to the piston gallery), failure mode (No oil), and failure cause (Check-Valve design); thus measures from Type 4 apply directly to Type 6 with consistent technical relevance."
Crankcase design,"SIMILAR_CONTEXT: The target system 'Gas Engine Type 6' with subsystem 'Engine Block', system element 'Piston cooling jet (PCJ)', function 'Directs oil to the piston gallery (e.g. bundling)', failure mode 'No oil', and failure cause 'Crankcase design' matches exactly the element, function, failure mode, and failure cause in the retrieved data but the product is a different version within the same product category (Gas Engines). Therefore, preventive and detective measures from 'Gas Engine Type 4' are applicable and transferable after validation. The failure cause 'Crankcase design' appears in the retrieved data with preventive measures for similar failure mode 'No oil' and failure effects related to piston seizure or oil loss. Some detective measures are linked to specific failure mode combinations like leakage or oil pressure loss but given the close similarity of failure cause and failure mode, these detective measures are suitable, especially functional testing that monitors oil pressure and piston thermal condition to detect oil absence due to crankcase design issues."
Geometry tolerances,"SIMILAR_CONTEXT because the chassis and subsystem (Engine Block) and system element (Piston cooling jet (PCJ)) and failure mode 'No oil' plus failure cause 'Geometry tolerances' match well between Gas Engine Type 6 (target) and Gas Engine Type 4 (retrieved). The product is a Gas Engine (same product category, similar system element and function). Though the engine type is different (Type 6 vs Type 4), the failure cause and mode context for the piston cooling jet is sufficiently similar, hence applicable preventive and detective measures can be transferred."
"Incorrect maintenance activity (alignment, bolted joint)","SIMILAR_CONTEXT because the retrieved context is from Gas Engine Type 4 with identical subsystem (Engine Block), identical system element (Piston cooling jet (PCJ)), same function (Directs oil to the piston gallery), failure mode (No oil), and failure cause (Incorrect maintenance activity (alignment, bolted joint)), but the target is Gas Engine Type 6 (a different version). Given the close similarity in product category (gas engines) and matching failure cause and mode, the preventive and detective measures from the retrieved data are applicable and relevant to the target context."
Not machined to spec,"SIMILAR_CONTEXT: The target system 'Gas Engine Type 6' and the retrieved data product 'Gas Engine Type 4' are different but belong to the same product category (Gas Engines). The subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (Directs oil to the piston gallery), failure mode ('No oil'), and failure cause ('Not machined to spec') match exactly between target and retrieved data except for product model. Hence, the context is similar and measures can be transferred with applicability verification. The preventive and detective measures related to this failure cause in the retrieved context include FPQ, Drawing specification as preventive measures, and MCE Functional Testing (Component Inspection) as a detective measure, which are technically applicable to the target system."
Nozzle holder,"SIMILAR_CONTEXT because the target system context is a Gas Engine Type 6 with subsystem Engine Block, system element Piston cooling jet (PCJ), and failure mode 'No oil' caused by 'Nozzle holder', which exactly matches retrieved failure cause and failure mode but differs in product variant (Gas Engine Type 4 vs Type 6). Given they belong to the same product category (Gas engines) and subsystem, and system element, the measures transferred from Gas Engine Type 4 are applicable and technically relevant for Gas Engine Type 6."
Nozzle wear,"SIMILAR_CONTEXT: The target system 'Gas Engine Type 6' and retrieved data 'Gas Engine Type 4' belong to the same product category (Gas Engines) with the same subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (Directs oil to the piston gallery), failure mode (No oil), and failure cause (Nozzle wear). Despite the product type difference (Type 6 vs. Type 4), all other context parameters align exactly. Therefore, preventive and detective measures for failure cause 'Nozzle wear' under failure mode 'No oil' can be transferred and are applicable with no indication that the product variation invalidates these measures."
PCJN design,"SIMILAR_CONTEXT because the target system 'Gas Engine Type 6' differs in product generation/version but shares the exact same Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Directs oil to the piston gallery (e.g. bundling)), Failure Mode (No oil), and Failure Cause (PCJN design) from the retrieved data in 'Gas Engine Type 4'. These measures directly apply technically and contextually to the target system."
Piston gallery design,"SIMILAR_CONTEXT: The target system 'Gas Engine Type 6' has the exact same subsystem 'Engine Block', system element 'Piston cooling jet (PCJ)', function 'Directs oil to the piston gallery (e.g. bundling)', failure mode 'No oil' and failure cause 'Piston gallery design' as the retrieved context data from 'Gas Engine Type 4'. Given they share the same product category (gas engines), subsystem, element, function, failure mode and cause, the measures from the retrieved context are fully applicable and correct, considering naming and functional equivalence. Therefore, preventive and detective measures from the retrieved data for these failure modes and causes are applicable and recommended without modification."
Pressure fluctuation from the lubrication system,"SIMILAR_CONTEXT: The target system 'Gas Engine Type 6' with subsystem 'Engine Block' and system element 'Piston cooling jet (PCJ)' matches the failure cause 'Pressure fluctuation from the lubrication system' with failure mode 'No oil' from retrieved data for 'Gas Engine Type 4'. The product category (gas engines), subsystem, system element, function, failure mode, and failure cause are identical or highly similar, differing only in product type version (Type 6 vs. Type 4). Preventive and detective measures from Type 4 context apply to Type 6 as well, since oil system design and testing principles remain consistent. Measures transferred are all from retrieved data and no new measures are created."
"Assembly process / Design for assembly (alignment, bolted joint)","SIMILAR_CONTEXT: The target system context matches the subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (Directs oil to the piston gallery), failure mode (Intermittent oil), and failure cause (Assembly process / Design for assembly (alignment, bolted joint)) exactly except for the product (Gas Engine Type 6 vs retrieved Gas Engine Type 4). Both belong to the same product category (gas engines) with similar subsystem and system element functions. Therefore, preventive and detective measures from Gas Engine Type 4 context are applicable and transferred with consideration to naming differences and system specifics."
Carbon deposit from oil,"SIMILAR_CONTEXT: The target system is 'Gas Engine Type 6' with subsystem Engine Block, system element Piston cooling jet (PCJ), function directing oil to piston gallery, failure mode 'Intermittent oil' and failure cause 'Carbon deposit from oil'. Retrieved data provides multiple entries for 'Gas Engine Type 4' with exact matches on subsystem, system element, function, failure mode and failure cause, so the technical context and product category (gas engines) align closely. Measures related to 'Carbon deposit from oil' causing intermittent oil in the PCJ are applicable to Gas Engine Type 6 as well without conflict. Therefore, transfer of preventive and detective measures from Gas Engine Type 4 context is justified and measures remain relevant and applicable."
Check-Valve design,"SIMILAR_CONTEXT: The target system 'Gas Engine Type 6' is different from the retrieved product 'Gas Engine Type 4', but subsystem ('Engine Block'), system element ('Piston cooling jet (PCJ)'), function ('Directs oil to the piston gallery (e.g. bundling)'), failure mode ('Intermittent oil') and failure cause ('Check-Valve design') match exactly. Therefore, preventive and detective measures from 'Gas Engine Type 4' are applicable with naming variations allowed. This is a similar context, allowing transfer of relevant measures which still make technical sense for the 'Gas Engine Type 6'."
Crankcase design,"SIMILAR_CONTEXT: The target system is 'Gas Engine Type 6' with the same subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (Directs oil to the piston gallery), failure mode (Intermittent oil), and failure cause (Crankcase design) as well as failure effect (Piston scuff) compared to retrieved data from 'Gas Engine Type 4'. The product is a different engine generation/type but within the same product category (gas engines) and identical system context and failure specifics. Therefore, preventive and detective measures applicable to Gas Engine Type 4 context are transferable and relevant for Gas Engine Type 6 without conflict."
Geometry tolerances,"SIMILAR_CONTEXT: The target system 'Gas Engine Type 6' and the retrieved data from 'Gas Engine Type 4' share the same subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (Directs oil to the piston gallery (e.g. bundling)), failure mode (Intermittent oil), and failure cause (Geometry tolerances). The products differ but belong to the same product category (gas engines) with identical functional and failure contexts. Therefore, preventive and detective measures are transferable and applicable."
"Incorrect maintenance activity (alignment, bolted joint)","SIMILAR_CONTEXT because the system elements (Piston cooling jet (PCJ)), function (Directs oil to the piston gallery), failure mode (Intermittent oil), and failure cause (Incorrect maintenance activity (alignment, bolted joint)) match exactly but the product differs (Gas Engine Type 6 target vs Gas Engine Type 4 retrieved). Both belong to the same product category (Gas Engines) and the subsystem and failure context remain the same, so the preventive and detective measures from Gas Engine Type 4 are applicable and relevant."
