failure_cause,failure_effect,analysis_decision
Crankcase design,Oil leakage to environment,"EXACT_MATCH: The retrieved data exactly matches the target context in all key parameters (Product: Gas Engine Type 4, Subsystem: Engine Block, SystemElement: Piston cooling jet (PCJ), Function: Sealing of main oil gallery, FailureMode: Leakage crankcase (outside) over time, FailureCause: Crankcase design, FailureEffect: Oil leakage to environment). The preventive and detective measures listed in the retrieved data align perfectly with the given existing measures, confirming that the occurrence and detection ratings are valid as per the schema. The severity rating is consistent with the failure effect impact (oil leakage to environment causing potential environmental regulation violation, financial damage), meriting a high severity value consistent with the 9 rating. The occurrence rating 3 reflects low likelihood due to effective preventive measures. Detection rating 4 corresponds with high likelihood of detection through functional testing methods before delivery. Therefore, the exact match ratings are directly applicable without adjustment."
Geometry tolerances,Oil leakage to environment,"EXACT_MATCH: The retrieved data exactly matches the target system context — same Product (Gas Engine Type 4), Subsystem (Engine Block), SystemElement (Piston cooling jet (PCJ)), Function (Sealing of main oil gallery), FailureMode (Leakage crankcase (outside) over time), FailureCause (Geometry tolerances), and FailureEffect (Oil leakage to environment). Additionally, the preventive and detective measures are the same. Therefore, the existing risk ratings from the retrieved data are fully applicable without adjustment."
"Incorrect maintenance activity (alignment, bolted joint)",Oil leakage to environment,"EXACT_MATCH: The target system context matches exactly with retrieved data from the Gas Engine Type 4, Engine Block subsystem, and the Piston cooling jet (PCJ) system element. The failure mode 'Leakage crankcase (outside) over time', failure cause 'Incorrect maintenance activity (alignment, bolted joint)', and failure effect 'Oil leakage to environment' are identical, including the preventive measures ('Design for maintenance (Poke Yoke etc.)', 'Service instruction') and detective measures ('Field validation (Fracas)'). Thus, the previously assessed risk ratings are directly applicable. Severity is rated at 9, reflecting regulatory violation and significant environmental risk. Occurrence is low (2) due to effective preventive measures reducing the likelihood of incorrect maintenance causing leakage. Detection is moderate (5), indicating detection requires targeted inspection or field validation methods like FRACAS. The alignment with decision matrix and consistent measures validates using these exact ratings without modification."
Not machined to spec,Oil leakage to environment,"EXACT_MATCH: The retrieved data includes an exact match for Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Sealing of main oil gallery), Failure Mode (Leakage crankcase (outside) over time), Failure Cause (Not machined to spec), Failure Effect (Oil leakage to environment), and the same preventive ('FPQ', 'Drawing specification') and detective ('MCE Functional Testing (Component Inspection)') measures. The severity rating is consistently 9 for the effect 'Oil leakage to environment' in this context, which fits the definition of severe environmental contamination and regulatory/financial consequences. The occurrence rating is 3 (Low likelihood) reflecting effective preventive measures. Detection rating is 4 indicating high likelihood of detection in subsequent processes such as component inspection by MCE functional testing. Hence, the existing ratings should be used without adjustment."
Nozzle holder,Oil leakage to environment,"EXACT_MATCH: The exact combination of Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Sealing of main oil gallery), Failure Mode (Leakage crankcase (outside) over time), Failure Cause (Nozzle holder), and Failure Effect (Oil leakage to environment) is present in the retrieved data. Preventive and detective measures match those provided in the target context. The severity, occurrence, and detection ratings extracted from the retrieved data are fully consistent with the current preventive and detective measures for this failure mode and cause. Therefore, the risk ratings are used directly without adjustment."
O-Ring aging,Oil leakage to environment,"EXACT_MATCH because the retrieved FMEA data perfectly matches the target context in Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Sealing of main oil gallery), Failure Mode (Leakage crankcase (outside) over time), Failure Cause (O-Ring aging), Failure Effect (Oil leakage to environment). Preventive and detective measures also match exactly. Therefore, the risk ratings from the retrieved data are directly applicable without adjustments."
O-Ring design,Oil leakage to environment,"EXACT_MATCH based on perfect alignment of all key attributes: Product ('Gas Engine Type 4'), Subsystem ('Engine Block'), System Element ('Piston cooling jet (PCJ)'), Function ('Sealing of main oil gallery'), Failure Mode ('Leakage crankcase (outside) over time'), Failure Cause ('O-Ring design'), and Failure Effect ('Oil leakage to environment') exactly match the retrieved data. Preventive measures ('O-Ring specification', 'TA Tightening specification') and detective measure ('MCE Functional Testing (Daily Inspection leakage assessment)') are identical. Therefore, direct use of retrieved risk ratings is appropriate without adjustment."
"Assembly process / Design for assembly (alignment, bolted joint)",Oil gallery pressure drop,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block, Piston cooling jet (PCJ), function Sealing of main oil gallery, failure mode Leakage of oil inside crankcase, failure cause Assembly process / Design for assembly (alignment, bolted joint), failure effect Oil gallery pressure drop) exactly matches the retrieved data entry including the same preventive ('Design for assembly (Poke Yoke etc.)', 'Assembly instruction') and detective ('Assembly trial') measures. The retrieved severity rating is 5, occurrence rating 2, and detection rating 1 consistent with the provided measures and failure effect impact. Therefore, the exact ratings are applicable without adjustment."
Crankcase design,Oil gallery pressure drop,"EXACT_MATCH with direct use of retrieved risk ratings. The retrieved data exactly matches the target context: same Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Sealing of main oil gallery), Failure Mode (Leakage of oil inside crankcase), Failure Cause (Crankcase design), and Failure Effect (Oil gallery pressure drop). Preventive and detective measures also match the provided existing measures, confirming applicability. The severity rating of 5 corresponds to 'Process disturbance, problems for some customers' which aligns with oil gallery pressure drop severity. Occurrence is rated 3 reflecting 'Low likelihood' with effective preventive controls like O-Ring specification and tightening specs in place. Detection rating of 4 indicates 'High likelihood of detection in subsequent processes', consistent with comprehensive MCE Functional Testing measures. Hence, the extracted ratings are consistent, accurate, and directly applicable."
Geometry tolerances,Oil gallery pressure drop,"EXACT_MATCH: The retrieved data shows an exact match to the requested context with identical product (Gas Engine Type 4), subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (Sealing of main oil gallery), failure mode (Leakage of oil inside crankcase), failure cause (Geometry tolerances), failure effect (Oil gallery pressure drop), preventive measures (FPQ, Component test rig), and detective measures (MCE Functional Testing (Component Inspection)). The severity rating is consistently 5 across the data, reflecting moderate impact on process/customer (pressure drop affecting oil gallery behavior). Occurrence rating is 3 due to existing effective preventive controls. Detection rating of 4 corresponds to high likelihood of detection before delivery via component inspection functional testing. Therefore, the existing ratings are appropriate and accurate for the target scenario without adjustment needed."
"Incorrect maintenance activity (alignment, bolted joint)",Oil gallery pressure drop,"EXACT_MATCH. The target system context exactly matches the retrieved data from the RAG in all key aspects: same product (Gas Engine Type 4), subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (Sealing of main oil gallery), failure mode (Leakage of oil inside crankcase), failure cause (Incorrect maintenance activity (alignment, bolted joint)), and failure effect (Oil gallery pressure drop). Preventive and detective measures also match perfectly ['Design for maintenance (Poke Yoke etc.)', 'Service instruction'] and ['Field validation (Fracas)'], respectively. The severity rating of 5 corresponds to moderate process disturbance/problems for some customers (consistent with an internal oil gallery pressure drop). Occurrence rating of 2 reflects unlikely occurrence due to effective preventive measures (Design for maintenance and service instructions). Detection rating of 5 indicates detection only through targeted inspection (field validation), which aligns with current detection capabilities. Therefore, the retrieved ratings are fully applicable without adjustment."
Nozzle holder,Oil gallery pressure drop,"EXACT_MATCH: The retrieved data exactly matches all target system context fields: Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Sealing of main oil gallery), Failure Mode (Leakage of oil inside crankcase), Failure Cause (Nozzle holder), Failure Effect (Oil gallery pressure drop). The preventive and detective measures in the retrieved data align closely with the current measures provided. Therefore, the risk ratings can be directly applied without adjustment."
"Assembly process / Design for assembly (alignment, bolted joint)",Main bearing failure,"EXACT_MATCH based on retrieved data: The retrieved data fully matches the target system context including Product (Gas Engine Type 4), Subsystem (Engine Block), SystemElement (Piston cooling jet (PCJ)), Function (Opens at a desired opening pressure), FailureMode (Not opening at the desired pressure), FailureCause (Assembly process / Design for assembly (alignment, bolted joint)), and FailureEffect (Main bearing failure). The preventive and detective measures listed in the retrieved data ('Design for assembly (Poke Yoke etc.)', 'Assembly instruction' for prevention and 'Assembly trial' for detection) perfectly match the given existing measures. Therefore, the ratings are used directly as retrieved. The severity rating of 8 is consistent with the impact of main bearing failure causing reduced service and dissatisfied customers (high severity, but no regulatory violation or direct financial catastrophe beyond customer dissatisfaction). The occurrence rating of 2 indicates the preventive measures are quite effective, making failure unlikely. The detection rating of 1 represents certain detection via assembly trial before customer delivery, fitting the described detective measure. Hence, no adjustment is necessary."
Carbon deposit from oil,Main bearing failure,"EXACT_MATCH based on retrieved data: The target failure mode 'Not opening at the desired pressure' in 'Piston cooling jet (PCJ)' of 'Gas Engine Type 4', with failure cause 'Carbon deposit from oil' and failure effect 'Main bearing failure' matches exactly with a retrieved FMEA record. Preventive measures ('TA Oil management', 'Cleanliness standards') and detective measures ('MCE Functional Testing (Component inspection)', 'Field validation (Component inspection)') are identical. Severity is rated at 8 due to significant customer impact (main bearing failure leads to reduced reliability and dissatisfaction), occurrence is 4 reflecting occasional occurrence given the preventive controls, and detection is 5 indicating detection only through targeted inspection. No adjustments are necessary as the retrieved ratings align well with the current preventive and detective measures and their effectiveness."
Check-Valve design,Main bearing failure,"EXACT_MATCH: The retrieved data from the RAG shows a perfect match for all key attributes—Product (Gas Engine Type 4), Subsystem (Engine Block), SystemElement (Piston cooling jet (PCJ)), Function (Opens at a desired opening pressure), FailureMode (Not opening at the desired pressure), FailureCause (Check-Valve design), and FailureEffect (Main bearing failure). Preventive and detective measures are identical. Thus, we use the retrieved risk ratings directly. The severity rating of 8 is consistent as a main bearing failure causes significant dissatisfaction and potential mechanical damage, but not violation of regulation or large financial damage beyond internal impact, fitting the 7-8 range. Occurrence rating of 4 indicates occasional occurrence due to existing preventive measure '1d oil circuit analysis (PCJ)', and detection rating of 4 reflects high likelihood of detection in subsequent testing including component test rig and MCE functional testing. These ratings align well with the existing measures, providing a reliable risk assessment."
Check-Valve wear,Main bearing failure,"EXACT_MATCH: The target context matches exactly with the retrieved data: same Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Opens at a desired opening pressure), Failure Mode (Not opening at the desired pressure), Failure Cause (Check-Valve wear) and Failure Effect (Main bearing failure). Preventive and detective measures also match exactly. Therefore, the risk ratings can be directly taken from the retrieved data, ensuring consistency and accuracy."
Cleanliness,Main bearing failure,"EXACT_MATCH: The retrieved graph query data exactly matches all specified criteria in the target system context, including product, subsystem, system element, function, failure mode, failure cause, failure effect, and preventive and detective measures. Therefore, the severity, occurrence, and detection ratings from the retrieved data are directly applicable without adjustment."
Geometry tolerances,Main bearing failure,"EXACT_MATCH because the retrieved query data exactly matches the target context: Product (Gas Engine Type 4), Subsystem (Engine Block), SystemElement (Piston cooling jet (PCJ)), Function (Opens at a desired opening pressure), FailureMode (Not opening at the desired pressure), FailureCause (Geometry tolerances), and FailureEffect (Main bearing failure). The preventive measures (FPQ, Component test rig) and detective measures (MCE Functional Testing (Component Inspection)) also match exactly. Thus, the direct risk ratings retrieved (Severity=8, Occurrence=3, Detection=4) are applicable without adjustment."
Not machined to spec,Main bearing failure,"EXACT_MATCH due to complete alignment of product (Gas Engine Type 4), subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (Opens at a desired opening pressure), failure mode (Not opening at the desired pressure), failure cause (Not machined to spec), failure effect (Main bearing failure), and existing preventive and detective measures with the retrieved data. The retrieved ratings (Severity 8, Occurrence 3, Detection 4) perfectly fit this scenario. Severity is rated 8 reflecting significant customer dissatisfaction and risk of main bearing failure. Occurrence is 3 indicating low likelihood due to preventive measures like FPQ and detailed drawing specifications. Detection is 4 reflecting high likelihood of detection through MCE Functional Testing (Component Inspection). These ratings match definitions and are consistent with other failures having the same causes, effects, and measures."
Nozzle holder,Main bearing failure,"EXACT_MATCH: The target system context matches fully with retrieved data for Product 'Gas Engine Type 4', Subsystem 'Engine Block', SystemElement 'Piston cooling jet (PCJ)', Function 'Opens at a desired opening pressure', FailureMode 'Not opening at the desired pressure', FailureCause 'Nozzle holder', and FailureEffect 'Main bearing failure'. Preventive and detective measures in the retrieved data agree with the target measures, ensuring the applicability of risk ratings without adjustment. The severity rating of 8 reflects significant customer dissatisfaction and reduced service due to main bearing failure, consistent across these failure modes. The occurrence rating of 4 corresponds well with the existing preventive measures' effectiveness and the realistic occasional failure probability. Detection rating of 4 aligns with the listed detection measures such as functional testing and component test rig, representing a high likelihood of detection before customer delivery but not certainty. Ratings are therefore directly applied."
Pressure fluctuation from the lubrication system,Main bearing failure,"EXACT_MATCH due to identical product (Gas Engine Type 4), subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (Opens at a desired opening pressure), failure mode (Not opening at the desired pressure), failure cause (Pressure fluctuation from the lubrication system), failure effect (Main bearing failure), and preventive/detective measures. Ratings from retrieved data perfectly align with target context and existing measures."
Vibration,Main bearing failure,"EXACT_MATCH based on complete alignment of all parameters (Product, Subsystem, SystemElement, Function, FailureMode, FailureCause, FailureEffect) with retrieved data. The severity, occurrence, and detection ratings in the retrieved data directly correspond to the given failure scenario and preventive/detective measures. Preventive measure 'FEA Modal Analysis' and detective measure 'Hammer/Modal test' are the same in both target and retrieved data, confirming applicability without adjustment. Severity rating of 8 reflects a high impact on the main bearing, consistent with 'Reduced service, customers are dissatisfied' or worse, justifying the high rating. Occurrence rating of 4 represents an occasional occurrence considering current preventive measures, and detection rating of 4 represents a high likelihood of detection before customer delivery, matching the described detector method. No similarity ambiguity or subsystem/product category changes require further adaptation or re-assessment under SIMILAR_CONTEXT or DIFFERENT_CONTEXT rules."
"Assembly process / Design for assembly (alignment, bolted joint)",Fluctuation of the oil flow rate to the piston,"EXACT_MATCH based on a complete match of Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Opens at a desired opening pressure), Failure Mode (Closes not at the desired pressure), Failure Cause (Assembly process / Design for assembly (alignment, bolted joint)), and Failure Effect (Fluctuation of the oil flow rate to the piston). The preventive measures ('Design for assembly (Poke Yoke etc.)', 'Assembly instruction') and detective measure ('Assembly trial') match exactly with retrieved data. Therefore, retrieved ratings Severity=6, Occurrence=2, Detection=1 are directly applicable without adjustment."
Carbon deposit from oil,Fluctuation of the oil flow rate to the piston,"EXACT_MATCH: The target FMEA entry for failure mode 'Closes not at the desired pressure' caused by 'Carbon deposit from oil' on the 'Piston cooling jet (PCJ)' in the 'Engine Block' subsystem of 'Gas Engine Type 4' matches exactly with a retrieved entry from the RAG data having the same product, subsystem, system element, function, failure mode, failure cause, and failure effect. Preventive and detective measures align well with those listed in the retrieved data. Therefore, the severity, occurrence, and detection ratings can be directly adopted without adjustment."
Check-Valve design,Fluctuation of the oil flow rate to the piston,"EXACT_MATCH: The target failure scenario ('Closes not at the desired pressure' due to 'Check-Valve design' in the 'Piston cooling jet (PCJ)' of the 'Gas Engine Type 4') exactly matches a retrieved failure mode in product, subsystem, system element, function, failure mode, failure cause, and failure effect. The existing preventive measures ('1d oil circuit analysis (PCJ)') and detective measures ('Component test rig', 'MCE Functional Testing (Oil pressure monitoring and piston thermal survey)') are consistent with those in the retrieved data. Severity, Occurrence, and Detection ratings in the retrieved data are well aligned with definitions and the described measures. Therefore, the risk ratings should be used directly for this scenario without adjustment."
Check-Valve wear,Fluctuation of the oil flow rate to the piston,"EXACT_MATCH because the retrieval data exactly matches the target context in Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Closes at the desired pressure), Failure Mode (Closes not at the desired pressure), Failure Cause (Check-Valve wear), Failure Effect (Fluctuation of the oil flow rate to the piston), and Preventive and Detective measures. The previously rated Severity is 6 due to process disturbance and problems for some customers; Occurrence is 4 indicating occasional occurrence considering the existing FPQ preventive measure; Detection is rated 5 reflecting detection only through targeted inspection like field validation and quality check on component test rig. All these are consistent and appropriate considering the current preventive and detective measures."
Cleanliness,Fluctuation of the oil flow rate to the piston,"EXACT_MATCH - The retrieved data exactly matches the target context for Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (open/close at desired pressure), Failure Mode (Closes not at the desired pressure), Failure Cause (Cleanliness), and Failure Effect (Fluctuation of the oil flow rate to the piston). Preventive measures and detective measures are also identical to those in the retrieved data. Hence, the existing Severity (6), Occurrence (2), and Detection (5) ratings are directly applicable without adjustment."
Not machined to spec,Fluctuation of the oil flow rate to the piston,"EXACT_MATCH - The retrieved data contains an exact match for the target system context with identical Product (Gas Engine Type 4), Subsystem (Engine Block), SystemElement (Piston cooling jet (PCJ)), Function (closing/opening at desired pressure - functionally analogous), FailureMode ('Closes not at the desired pressure'), FailureCause ('Not machined to spec'), and FailureEffect ('Fluctuation of the oil flow rate to the piston'). Preventive measures (FPQ, Drawing specification) and detective measures (MCE Functional Testing (Component Inspection)) also perfectly match the target system measures. The severity rating of 6 reflects a moderate impact causing process disturbances and some customer problems, consistent with failure effect on oil flow fluctuation. The occurrence rating of 3 indicates a low likelihood given the effective preventive controls. Detection rating of 4 corresponds to a high likelihood of detection through functional testing in the process but not fully certain before delivery, consistent with described measures. Therefore, the original ratings can be adopted unchanged directly."
Nozzle holder,Fluctuation of the oil flow rate to the piston,"EXACT_MATCH: The retrieved data exactly matches the target context in terms of Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Closes at the desired pressure), Failure Mode (Closes not at the desired pressure), Failure Cause (Nozzle holder), and Failure Effect (Fluctuation of the oil flow rate to the piston). The preventive and detective measures listed in the query closely align with those in the retrieved data, ensuring the ratings are directly applicable. The severity rating of 6 reflects process disturbance and problems to some customers due to fluctuating oil flow. The occurrence rating of 4 corresponds to occasional occurrence with existing robust preventive measures (O-Ring specification, TA Tightening, oil circuit analysis, tolerance checks). The detection rating of 4 indicates a high likelihood of detecting the failure cause in subsequent testing processes (component test rig and MCE functional testing). Since the context and measures match precisely, no adjustment is necessary."
Pressure fluctuation from the lubrication system,Fluctuation of the oil flow rate to the piston,"EXACT_MATCH - The retrieved data perfectly matches the target system context on product (Gas Engine Type 4), subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (close at desired pressure), failure mode (closes not at desired pressure), failure cause (pressure fluctuation from lubrication system), failure effect (fluctuation of oil flow rate to piston), and the exact preventive and detective measures are identical. Therefore, the risk ratings Severity=6, Occurrence=2, Detection=4 are directly applicable without adjustment."
Vibration,Fluctuation of the oil flow rate to the piston,"EXACT_MATCH based on identical match of Product (Gas Engine Type 4), Subsystem (Engine Block), SystemElement (Piston cooling jet (PCJ)), Function (Opens/Closes at desired pressure), FailureMode (Closes not at the desired pressure), FailureCause (Vibration), FailureEffect (Fluctuation of the oil flow rate to the piston) and preventive ('FEA Modal Analysis') and detective ('Hammer/Modal test') measures. All these parameters are perfectly aligned with retrieved data where Severity = 6, Occurrence = 4, Detection = 4. Ratings are consistent with the definitions: Severity 6 corresponds to process disturbance and problems for some customers (fluctuation in oil flow impacts engine reliability but not catastrophic), Occurrence 4 indicates occasional occurrence (vibration possible despite FEA analysis), and Detection 4 corresponds to high likelihood of detection via hammer/modal test (a well-established detective measure). Thus, no rating adjustment is necessary."
"Assembly process / Design for assembly (alignment, bolted joint)",Piston seizure,"EXACT_MATCH - The retrieved data contains an exact match for the target system context. The product (Gas Engine Type 4), subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (Directs oil to the piston gallery), failure mode (Too little oil), failure cause (Assembly process / Design for assembly (alignment, bolted joint)), and failure effect (Piston seizure) all correspond exactly to the target input. Preventive measures ('Design for assembly (Poke Yoke etc.)', 'Assembly instruction') and detective measures ('Assembly trial') are the same as specified in the target context. Therefore, the severity, occurrence, and detection ratings can be used directly from the retrieved data. The severity rating of 7 reflects reduced service and customer dissatisfaction due to piston seizure risk, consistent with the rating guidelines. The occurrence rating of 2 corresponds to 'Unlikely' considering the effectiveness of the design for assembly and instructions. The detection rating of 1 denotes certain detection through the assembly trial before delivery, ensuring early detection of assembly-related misalignment issues."
Carbon deposit from oil,Piston seizure,"EXACT_MATCH due to complete matching of Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Directs oil to the piston gallery), Failure Mode (Too little oil), Failure Cause (Carbon deposit from oil), Failure Effect (Piston seizure), and identical Preventive and Detective measures. Retrieved ratings are consistent with the defined rating schema. Severity rated as 7 aligns with the impact level of piston seizure causing reduced service/customer dissatisfaction but not reaching regulatory/financial violation. Occurrence rated at 4 reflects occasional occurrence considering existing preventive measures ('TA Oil management', 'Cleanliness standards'). Detection rated at 5 corresponds to detection only through targeted inspection ('MCE Functional Testing', 'Field validation'), consistent with provided detective measures. Therefore, retrieved ratings are valid and no adaptation is needed."
Check-Valve design,Piston seizure,"EXACT_MATCH based on retrieved FMEA data that exactly matches the target system context: Product 'Gas Engine Type 4', Subsystem 'Engine Block', SystemElement 'Piston cooling jet (PCJ)', Function 'Directs oil to the piston gallery (e.g. bundling)', FailureMode 'Too little oil', FailureCause 'Check-Valve design', and FailureEffect 'Piston seizure'. Preventive and detective measures provided match exactly with retrieved data, ensuring the applicability of existing ratings without modification."
