failure_cause,failure_effect,analysis_decision
Not machined to spec,Main bearing failure,"SIMILAR_CONTEXT: The retrieved data presents a failure mode 'Not opening at the desired pressure' caused by 'Not machined to spec' in the same system element (Piston cooling jet), function, failure mode, and failure effect ('Main bearing failure') but in Gas Engine Type 4 instead of Gas Engine Type 6. Both belong to the same product category (gas engine) and subsystem (Engine Block) with identical preventive and detective measures. The failure effect severity is rated as 8 consistently, indicating a severe impact. Preventive measures FPQ and Drawing specification effectively reduce occurrence to 3 (low likelihood). The detective measure 'MCE Functional Testing (Component Inspection)' allows high likelihood detection rated as 4. Given the similarity in product and system context but a newer engine type, slight environmental or operational differences might marginally impact detection or occurrence, but the existing data's ratings remain appropriate and conservative. Therefore, ratings from Gas Engine Type 4 are directly transferable here with no adjustment needed."
Nozzle holder,Main bearing failure,"EXACT_MATCH with detailed reasoning: The target system context is 'Gas Engine Type 6' with the subsystem 'Engine Block' and the specific element 'Piston cooling jet (PCJ)' for the failure mode 'Not opening at the desired pressure' caused by the 'Nozzle holder', resulting in 'Main bearing failure'. The retrieved data provides an EXACT MATCH from 'Gas Engine Type 4' for the same subsystem, system element, function, failure mode, failure cause, and failure effect, with highly overlapping preventive and detective measures that are almost identical to the target. The severity rating of 8 sufficiently reflects a severe customer impact due to main bearing failure (major functional failure, possibly leading to downtime and dissatisfaction). The occurrence rating of 4 aligns with the fact that preventive measures are in place but occasional occurrences still happen (preventive measures like O-Ring specs, tightening specs, oil circuit analysis, and tolerance checks are comprehensive but do not entirely eliminate failure). The detection rating of 4 indicates a high likelihood of detection during functional or component testing before delivery, consistent with the existing extensive MCE functional testing and component test rigs. Given the near-identical context, measures, and failure characteristics, the original ratings are directly applicable without adjustment."
Vibration,Main bearing failure,"EXACT_MATCH - The target system context matches exactly to the retrieved data for 'Gas Engine Type 4' with same subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function ('Opens at a desired opening pressure'), failure mode ('Not opening at the desired pressure'), failure cause ('Vibration'), and failure effect ('Main bearing failure'). The preventive measure ('FEA Modal Analysis') and detective measure ('Hammer/Modal test') also match exactly. Thus, extracted ratings are directly applicable to the target context of 'Gas Engine Type 6' as both are gas engine types in the same product category with consistent functional and failure contexts. Severity is confirmed high (8) due to serious impact (main bearing failure), Occurrence moderate (4) due to occasional likelihood with current preventive measure, and Detection moderate-high (4) due to reasonable detection capability with modal testing. No adjustments are necessary."
"Assembly process / Design for assembly (alignment, bolted joint)",Fluctuation of the oil flow rate to the piston,"EXACT_MATCH based on retrieved data from Gas Engine Type 4 for the same subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (Opens at desired opening pressure), failure mode (Closes not at the desired pressure), failure cause (Assembly process / Design for assembly (alignment, bolted joint)), and failure effect (Fluctuation of the oil flow rate to the piston), with identical preventive and detective measures. Ratings from Gas Engine Type 4 context are fully applicable to Gas Engine Type 6 since product category and operating environment are comparable and preventive/detective measures match exactly, allowing direct reuse of ratings."
Carbon deposit from oil,Fluctuation of the oil flow rate to the piston,"SIMILAR_CONTEXT: The retrieved data from Gas Engine Type 4 for the Piston cooling jet (PCJ) with the failure mode 'Closes not at the desired pressure', caused by 'Carbon deposit from oil', resulting in the failure effect 'Fluctuation of the oil flow rate to the piston' matches the requested context except for the product version (Type 4 vs Type 6). The subsystem (Engine Block), system element (PCJ), function, failure mode, failure cause, failure effect, and existing preventive and detective measures align exactly. Both products belong to the same product category (Gas Engines), and the functional context and preventive/detective measures are identical. Therefore, the retrieved ratings are fully applicable. No significant changes in operation or customer impact are expected between engine types 4 and 6 regarding this failure. Preventive measures ('TA Oil management', 'Cleanliness standards') and detective measures ('MCE Functional Testing (Component inspection)', 'Field validation (Component inspection)') are consistent with those in the retrieved data. Hence, risk ratings can be used directly without adjustment."
Check-Valve design,Fluctuation of the oil flow rate to the piston,"SIMILAR_CONTEXT: The target system 'Gas Engine Type 6' and retrieved data 'Gas Engine Type 4' share the same Product Category (Gas Engine), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Failure Mode ('Closes not at the desired pressure'), Failure Cause ('Check-Valve design'), and Failure Effect ('Fluctuation of the oil flow rate to the piston'). The preventive measure ('1d oil circuit analysis (PCJ)') and detective measures ('Component test rig', 'MCE Functional Testing (Oil pressure monitoring and piston thermal survey)') are identical as well. Given these strong overlaps and similarity in function and context, it is appropriate to adapt the retrieved ratings with high confidence. 

Severity rating is consistent at 6 due to process disturbance causing problems for some customers (oil flow fluctuation impacting piston cooling but not immediately causing engine failure). 

Occurrence rating of 4 indicates occasional occurrence considering the existing preventive measure effectiveness (1d oil circuit analysis). The check-valve design issue is not eliminated but controlled. 

Detection rating of 4 matches a high likelihood of detection in subsequent processes using test rig and functional testing.

No significant context changes necessitate rating adjustments since both engine types are similar product family with comparable operational and testing regimes."
Check-Valve wear,Fluctuation of the oil flow rate to the piston,"SIMILAR_CONTEXT: The target system context is 'Gas Engine Type 6' with failure mode 'Closes not at the desired pressure' due to 'Check-Valve wear' in the 'Piston cooling jet (PCJ)' of the 'Engine Block' subsystem. The retrieved data provides an exact match for all aspects except the product is 'Gas Engine Type 4' instead of 'Type 6', which is the same product category and subsystem. The failure mode, cause, effect, preventive and detective measures are identical or semantically equivalent, allowing for direct use of ratings with consideration for any differences in newer engine type (Type 6) potentially having improved design or measures. However, since preventive and detective measures listed are the same and no evidence suggests major changes affecting failure likelihood or detection, the retrieved ratings are highly applicable. Severity is 6 because fluctuation of the oil flow affects piston cooling causing process disturbance but not regulatory or catastrophic failure. Occurrence is 4 indicating occasional occurrence with FPQ preventive measure in place. Detection is 5 reflecting detection mainly via targeted inspections and field validations, consistent with described measures. Given the strong contextual similarity and identical failure scenario, no significant adjustment is needed, and the retrieved ratings can be applied confidently."
Cleanliness,Fluctuation of the oil flow rate to the piston,"SIMILAR_CONTEXT: The retrieved data is from Gas Engine Type 4, while the target system is Gas Engine Type 6, both within the same product category (gas engines) and subsystem (Engine Block) utilizing the same System Element (Piston cooling jet (PCJ)) with the exact Failure Mode ('Closes not at the desired pressure'), Failure Cause ('Cleanliness'), and Failure Effect ('Fluctuation of the oil flow rate to the piston'). This constitutes a similar context according to the matrix, since only product variant differs. Preventive and detective measures are identical indicating comparable risk controls. Severity of 6 is appropriate due to process disturbance with customer impact. Occurrence rating of 2 aligns with effective preventive cleanliness measures and TA Oil management, implying failure cause is unlikely but possible. Detection rating of 5 corresponds to detection only by targeted inspections (MCE Functional Testing and Field validation), consistent with current measures. Given the above, no adjustment is needed for severity or detection. Occurrence remains low likelihood due to cleanliness standards and oil management, consistent with the retrieved rating. This yields reliable and representative risk ratings for the target Gas Engine Type 6 context."
Geometry tolerances,Fluctuation of the oil flow rate to the piston,"EXACT_MATCH: The retrieved data from the Gas Engine Type 4 system for the 'Piston cooling jet (PCJ)' subsystem with failure mode 'Closes not at the desired pressure', failure cause 'Geometry tolerances', and failure effect 'Fluctuation of the oil flow rate to the piston' exactly matches the target context in terms of product category (Gas Engine), subsystem (Engine Block), system element (Piston cooling jet), function (close at desired pressure), failure mode, failure cause, failure effect, and preventive and detective measures. Although the target product is Type 6 and retrieved data is from Type 4, both belong to the same product category with highly similar functional contexts and preventive/detective measures (FPQ, component test rig and MCE functional testing). Hence, the existing severity (6), occurrence (3), and detection (4) ratings are directly applicable without modification. These ratings logically reflect a moderate severity (process disturbance, effect on some customers), a low occurrence due to effective preventive measures on geometry tolerances, and a high likelihood of detection by functional testing before customer delivery."
Not machined to spec,Fluctuation of the oil flow rate to the piston,"SIMILAR_CONTEXT. The target system is Gas Engine Type 6, and the retrieved data is from Gas Engine Type 4, both in the same product category (gas engines) and subsystem (Engine Block) with the same system element (Piston cooling jet PCJ), identical failure mode ('Closes not at the desired pressure'), failure cause ('Not machined to spec'), and failure effect ('Fluctuation of the oil flow rate to the piston'). Preventive and detective measures match closely ('FPQ', 'Drawing specification' preventive; 'MCE Functional Testing (Component Inspection)' detective). Given this near-exact match except for engine type (Type 6 vs Type 4), which likely have very similar design and operating environments, the retrieved risk ratings are highly applicable. The severity rating remains 6 since the failure effect impacts oil flow fluctuation, causing process disturbance/problem for some customers without regulation or severe financial damage. Occurrence remains at 3 reflecting low likelihood due to effective preventive controls. Detection remains 4 due to high likelihood of detection via MCE functional testing before delivery. Minor adaptation unnecessary as preventive/detective measures and failure effects are equivalent in both contexts."
Nozzle holder,Fluctuation of the oil flow rate to the piston,"EXACT_MATCH: The target failure mode 'Closes not at the desired pressure' on the 'Piston cooling jet (PCJ)' due to 'Nozzle holder' causing 'Fluctuation of the oil flow rate to the piston' matches exactly with retrieved FMEA data from 'Gas Engine Type 4' on the same subsystem, system element, failure mode, failure cause, and failure effect. Preventive and detective measures are highly similar with matching items including 'O-Ring specification', 'TA Tightening specification', '1d oil circuit analysis (PCJ)', 'Tolerance stack-up', '3D Modal clash check', and detective testing methods like 'Component test rig' and multiple 'MCE Functional Testing' measures. Considering these strong equivalences and consistent measures, the retrieved ratings can be directly applied without adjustment."
Vibration,Fluctuation of the oil flow rate to the piston,"EXACT_MATCH with detailed reasoning: The failure mode 'Closes not at the desired pressure' due to 'Vibration' in the 'Piston cooling jet (PCJ)' of the 'Engine Block' subsystem in the Gas Engine Type 6 is highly similar to the exact retrieved context of Gas Engine Type 4 with same subsystem, system element, function, failure mode, cause and effect. Preventive measures (FEA Modal Analysis etc.) and detective measures (Hammer/Modal test) listed for Gas Engine Type 6 are also closely aligned with those used in Gas Engine Type 4. Therefore, the existing risk ratings for Severity (6), Occurrence (4), and Detection (4) from Gas Engine Type 4 directly apply. Severity is rated 6 due to process disturbance and problems for some customers (fluctuation of oil flow rate). Occurrence is 4 as preventive measures reduce but do not eliminate likelihood. Detection is 4 as there is a high likelihood of detection in subsequent test processes. No significant operational or customer impact differences justify adjustments, thus ratings are reused as is."
"Assembly process / Design for assembly (alignment, bolted joint)",Piston seizure,"EXACT_MATCH based on retrieved data from Gas Engine Type 4, same 'Engine Block' subsystem, identical system element 'Piston cooling jet (PCJ)', same function, failure mode, failure cause, and failure effect with exactly matching preventive and detective measures. Only difference is engine type (Type 6 vs Type 4) within the same product category (Gas Engines), which is allowed as minor product variant within identical context. Severity, occurrence, and detection ratings from Gas Engine Type 4 are consistent with failure effect 'Piston seizure' and current preventive (Design for assembly Poke Yoke, assembly instruction) and detective (assembly trial) measures. Severity rating 7 indicates significant customer dissatisfaction due to piston seizure causing reduced service or damage but not regulatory or catastrophic financial violation. Occurrence rating 2 is justified by effective preventive measures reducing likelihood to unlikely. Detection rating 1 reflects very high probability of certain detection during assembly trial, aligned with described measures. Thus, ratings are directly applicable without adjustment."
Carbon deposit from oil,Piston seizure,"SIMILAR_CONTEXT because the retrieved data is from Gas Engine Type 4, same subsystem (Engine Block), identical system element (Piston cooling jet (PCJ)), function, failure mode 'Too little oil', failure cause 'Carbon deposit from oil', and failure effect 'Piston seizure', but from a slightly different product generation (Type 4 vs Type 6). The preventive and detective measures are identical. Therefore, ratings can be directly adapted with minor context considerations. Given that product evolution from Type 4 to Type 6 is likely incremental and does not fundamentally alter the failure mechanism or impact, severity remains consistent. Preventive measures ('TA Oil management', 'Cleanliness standards') and detective measures ('MCE Functional Testing (Component inspection)', 'Field validation (Component inspection)') are unchanged and provide similar detection capability and cause containment. The severity rating of 7 corresponds to reduced service / customer dissatisfaction due to piston seizure (still consistent). Occurrence rating of 4 reflects occasional occurrence despite preventive controls (carbon deposits are known, controlled but not eliminated). Detection rating of 5 corresponds to detection relying on targeted inspections (functional and field validations), not guaranteed at early stages. Hence, using the retrieved ratings unchanged is justified and recommended to maintain consistency and accuracy."
Check-Valve design,Piston seizure,"SIMILAR_CONTEXT: The target system context (Gas Engine Type 6, Engine Block subsystem, Piston cooling jet PCJ, failure mode 'Too little oil', failure cause 'Check-Valve design', failure effect 'Piston seizure') closely matches an existing failure mode in Gas Engine Type 4 with identical subsystem, component, function, failure mode, cause, and effect. Given the same product category and functional context, this is a highly similar but not exact product variant. The preventive and detective measures are the same, indicating similar effectiveness. Therefore, the retrieved risk ratings for Severity (7), Occurrence (4), and Detection (4), from Gas Engine Type 4 are directly applicable without adjustment. Severity is rated 7 due to the serious operational impact causing piston seizure but not regulatory violation or catastrophic financial loss. Occurrence rating 4 reflects occasional occurrence despite existing 1D oil circuit analysis preventive measure. Detection rating 4 corresponds to high likelihood of detection through component test rig and MCE functional testing before customer delivery."
"Incorrect maintenance activity (alignment, bolted joint)",Piston seizure,"EXACT_MATCH: The retrieved data contains an exact match for the target system context. Both the target and retrieved data share the same Product Category (Gas Engine), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Directs oil to piston gallery), Failure Mode (Too little oil), Failure Cause (Incorrect maintenance activity (alignment, bolted joint)), and Failure Effect (Piston seizure). The preventive measures (Design for maintenance (Poke Yoke etc.), Service instruction) and detective measure (Field validation (Fracas)) also exactly match. Therefore, the existing Severity, Occurrence, and Detection (S=7, O=2, D=5) ratings from Gas Engine Type 4 can be applied without adjustments. This is consistent with the definitions: Severity 7 aligns with 'reduced service, customers dissatisfied' due to piston seizure risk; Occurrence 2 reflects the effectiveness of preventive maintenance design; Detection 5 corresponds to detection only through targeted inspection (field validation)."
Nozzle holder,Piston seizure,"EXACT_MATCH found with Gas Engine Type 4 for Piston cooling jet (PCJ), failure mode 'Too little oil', failure cause 'Nozzle holder', and failure effect 'Piston seizure'. The preventive and detective measures in the retrieved data exactly match or are effectively equivalent to the target system (Gas Engine Type 6). Given the very close match in product category (Gas Engine series), subsystem, system element, function, failure mode, cause, and effect, the ratings from Gas Engine Type 4 can be directly applied. The severity rating of 7 is consistent with a piston seizure causing reduced service and customer dissatisfaction but not regulatory violation. Occurrence rating of 4 reflects occasional occurrence considering the effective preventive measures like O-Ring specification, TA tightening, oil circuit analysis, and tolerance stack-ups. Detection rating of 4 corresponds to high likelihood of detection by the comprehensive functional testing and component rig tests before shipping. Thus, no rating adjustment is needed for the target Gas Engine Type 6 context."
"Assembly process / Design for assembly (alignment, bolted joint)",Piston seizure,"SIMILAR_CONTEXT: The target system 'Gas Engine Type 6' is closely related to retrieved data from 'Gas Engine Type 4' with the same subsystem (Engine Block), system element (Piston cooling jet - PCJ), function (direct oil to piston gallery), failure mode (No oil), failure cause (Assembly process / Design for assembly - alignment, bolted joint), and failure effect (Piston seizure). The preventive and detective measures match precisely as well ('Design for assembly (Poke Yoke etc.)', 'Assembly instruction' for prevention and 'Assembly trial' for detection). Given the high similarity in product category (gas engines), functional context, failure scenario, and measures, the retrieved risk ratings are directly applicable. 

The retrieved ratings are Severity=7, Occurrence=2, Detection=1. Severity 7 aligns well with piston seizure causing reduced service/customers dissatisfied but not regulatory violation or financial penalty at a high level (consistent with seizure impact). Occurrence rating 2 (unlikely) reflects effective preventive assembly design and instructions. Detection rating 1 indicates near certain detection in assembly trials, plausible given the thorough testing referenced. 

No adjustment necessary due to identical failure context, measures, and closely matched engine product family; minor engine design differences between Type 4 and 6 presumed not to affect these ratings significantly. Thus, these ratings offer accurate and consistent risk evaluation for the target context."
Carbon deposit from oil,Piston seizure,"EXACT_MATCH: The retrieved data includes a direct match for the given target context: Product category (Gas Engine), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Directs oil to the piston gallery), Failure Mode (No oil), Failure Cause (Carbon deposit from oil), and Failure Effect (Piston seizure). The preventive measures ('TA Oil management', 'Cleanliness standards') and detective measures ('MCE Functional Testing (Component inspection)', 'Field validation (Component inspection)') exactly match the target system's existing measures. Thus, risk ratings are taken directly from the retrieved case. Severity rating is consistent at 7, reflecting 'Reduced service, customers are dissatisfied' due to piston seizure impact. Occurrence rating is 4 indicating occasional failure cause occurrence considering existing preventive measures. Detection rating is 5, meaning detection occurs only through targeted inspection (component inspection), consistent with the given detective measures."
Check-Valve design,Piston seizure,"EXACT_MATCH - The target system context (Gas Engine Type 6, Engine Block subsystem, Piston cooling jet (PCJ), failure mode No oil, failure cause Check-Valve design, failure effect Piston seizure) exactly matches the retrieved data from Gas Engine Type 4 with identical subsystem, system element, function, failure mode, failure cause, failure effect, and existing preventive and detective measures. Given the same product category (Gas Engine family), same functional context, and identical preventive/detective measures, the existing risk ratings for Severity (7), Occurrence (4), and Detection (4) are appropriate and consistent. No adjustments are necessary."
