failure_cause,analysis_decision
Crankcase design,"EXACT_MATCH: The target context exactly matches the retrieved data for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Piston cooling jet (PCJ)', Function 'Sealing of main oil gallery', Failure Mode 'Leakage crankcase (outside) over time', Failure Cause 'Crankcase design'. Measures from retrieved data correspond exactly to the failure cause and failure mode provided."
Geometry tolerances,"EXACT_MATCH because the retrieved context data exactly matches the target system context: Product = Gas Engine Type 4, Subsystem = Engine Block, System Element = Piston cooling jet (PCJ), Function = Sealing of main oil gallery, Failure Mode = Leakage crankcase (outside) over time, and Failure Cause = Geometry tolerances."
"Incorrect maintenance activity (alignment, bolted joint)","EXACT_MATCH because the target context for Product, Subsystem, System Element, Function, Failure Mode, and Failure Cause exactly matches retrieved data from multiple sources for 'Gas Engine Type 4' - 'Engine Block' - 'Piston cooling jet (PCJ)' - 'Sealing of main oil gallery' - 'Leakage crankcase (outside) over time' due to 'Incorrect maintenance activity (alignment, bolted joint)'."
Not machined to spec,"EXACT_MATCH because the target system context matches exactly with the retrieved data on Product Gas Engine Type 4, Subsystem Engine Block, System Element Piston cooling jet (PCJ), Function Sealing of main oil gallery, Failure Mode Leakage crankcase (outside) over time and Failure Cause Not machined to spec."
Nozzle holder,"EXACT_MATCH because the target context (Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Piston cooling jet (PCJ), Function: Sealing of main oil gallery, Failure Mode: Leakage crankcase (outside) over time, Failure Cause: Nozzle holder) exactly matches multiple entries in the retrieved context data."
O-Ring aging,"EXACT_MATCH based on Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Sealing of main oil gallery), Failure Mode (Leakage crankcase (outside) over time), and Failure Cause (O-Ring aging) all matching exactly with retrieved data."
O-Ring design,"EXACT_MATCH because the target system context exactly matches retrieved context data in product (Gas Engine Type 4), subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (Sealing of main oil gallery), failure mode (Leakage crankcase (outside) over time), and failure cause (O-Ring design). The measures are drawn only from context data with these exact characteristics."
"Assembly process / Design for assembly (alignment, bolted joint)","EXACT_MATCH - The target context fully matches retrieved data in product (Gas Engine Type 4), subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (Sealing of main oil gallery), failure mode (Leakage of oil inside crankcase), and failure cause (Assembly process / Design for assembly (alignment, bolted joint)). Therefore, only the measures explicitly retrieved for this exact context are used."
Crankcase design,"EXACT_MATCH: The target system context aligns precisely with retrieved data for Gas Engine Type 4, Engine Block subsystem, Piston cooling jet (PCJ) system element, function of sealing the main oil gallery, failure mode of leakage of oil inside crankcase, and failure cause crankcase design. Therefore, only the exact matching preventive and detective measures from the retrieved data are used without any transfer or adjustment."
Geometry tolerances,"EXACT_MATCH: The retrieved context data perfectly matches the target system context in product ('Gas Engine Type 4'), subsystem ('Engine Block'), system element ('Piston cooling jet (PCJ)'), function ('Sealing of main oil gallery'), failure mode ('Leakage of oil inside crankcase'), and failure cause ('Geometry tolerances'). Therefore, only use retrieved preventive and detective measures explicitly associated with this exact combination."
"Incorrect maintenance activity (alignment, bolted joint)","EXACT_MATCH because the retrieved context data includes the exact Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Sealing of main oil gallery), Failure Mode (Leakage of oil inside crankcase), and Failure Cause (Incorrect maintenance activity (alignment, bolted joint)) matching the target system context exactly."
Nozzle holder,"EXACT_MATCH because the target system context exactly matches with retrieved context data in product (Gas Engine Type 4), subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (Sealing of main oil gallery), failure mode (Leakage of oil inside crankcase) and failure cause (Nozzle holder). Thus, only the retrieved data with the exact context is used for measure generation."
"Assembly process / Design for assembly (alignment, bolted joint)","EXACT_MATCH based on identical product (Gas Engine Type 4), subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (Opens at a desired opening pressure), failure mode (Not opening at the desired pressure), and failure cause (Assembly process / Design for assembly (alignment, bolted joint)) retrieved from the context data."
Carbon deposit from oil,"EXACT_MATCH because the target system context matches exactly with the retrieved data in product (Gas Engine Type 4), subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (Opens at a desired opening pressure), failure mode (Not opening at the desired pressure), and failure cause (Carbon deposit from oil). Measures are therefore taken only from the specifically matching retrieved context."
Check-Valve design,"EXACT_MATCH - The retrieved context data fully matches the target system context (Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Piston cooling jet (PCJ), Function: Opens at a desired opening pressure, Failure Mode: Not opening at the desired pressure, Failure Cause: Check-Valve design). There are specific preventive and detective measures for this exact failure cause and failure mode combination in the retrieved data."
Check-Valve wear,"EXACT_MATCH since the target context (Gas Engine Type 4, Engine Block, Piston cooling jet (PCJ), Function 'Opens at a desired opening pressure', Failure Mode 'Not opening at the desired pressure', Failure Cause 'Check-Valve wear') exactly matches retrieved data entries from the same product and subsystem with identical system element, function, failure mode, and failure cause."
Cleanliness,"EXACT_MATCH based on identical Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Opens at a desired opening pressure), Failure Mode (Not opening at the desired pressure) and Failure Cause (Cleanliness) found in retrieved data"
Geometry tolerances,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block, Piston cooling jet (PCJ), Opens at a desired opening pressure, Failure mode 'Not opening at the desired pressure', Failure cause 'Geometry tolerances') matches exactly with retrieved context data including preventive and detective measures for the same failure cause and failure mode."
Not machined to spec,"EXACT_MATCH - The retrieved context data contains exact matches for the target system context including Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Piston cooling jet (PCJ)', Function 'Opens at a desired opening pressure', Failure Mode 'Not opening at the desired pressure', and Failure Cause 'Not machined to spec'. Measures for this exact context are available and used directly."
Nozzle holder,"EXACT_MATCH because the target system context (Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Piston cooling jet (PCJ), Function: Opens at a desired opening pressure, Failure Mode: Not opening at the desired pressure, Failure Cause: Nozzle holder) exactly matches retrieved context data for the same system and failure cause/mode combination."
Pressure fluctuation from the lubrication system,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block, Piston cooling jet (PCJ), function of opening at a desired opening pressure, failure mode 'Not opening at the desired pressure', and failure cause 'Pressure fluctuation from the lubrication system') exactly matches the retrieved context data."
Vibration,"EXACT_MATCH because the retrieved data exactly matches the target system context for Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Piston cooling jet (PCJ), Function: Opens at a desired opening pressure, Failure Mode: Not opening at the desired pressure, and Failure Cause: Vibration. Preventive and detective measures are taken solely from this exact matching context data."
"Assembly process / Design for assembly (alignment, bolted joint)","EXACT_MATCH because the retrieved data exactly matches the Target Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Open/Close at desired pressure with hysteresis considerations), Failure Mode (Closes not at the desired pressure), and Failure Cause (Assembly process / Design for assembly - alignment, bolted joint). Measures are taken strictly from retrieved context data."
Carbon deposit from oil,"EXACT_MATCH: The retrieved context data includes exact matches for Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Close at the desired pressure / Open at desired opening pressure), Failure Mode (Closes not at the desired pressure), and Failure Cause (Carbon deposit from oil). Preventive and detective measures are directly derived from this dataset without needing adaptation."
Check-Valve design,"EXACT_MATCH because the retrieved context data exactly matches the target system context by Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (opens/closes at desired pressure/minimize hysteresis), Failure Mode (closes not at the desired pressure), and Failure Cause (Check-Valve design). Measures from the retrieved context are used exclusively."
Check-Valve wear,"EXACT_MATCH based on target system (Gas Engine Type 4), subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (opens at a desired opening pressure), failure mode (Closes not at the desired pressure), and failure cause (Check-Valve wear) matching exactly with retrieved context data."
Cleanliness,"EXACT_MATCH: The target system context matches exactly with retrieved data on Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Failure Mode (Closes not at the desired pressure), and Failure Cause (Cleanliness). The Function differs slightly in wording but is functionally identical ('Opens at a desired opening pressure' vs. 'Close at the desired pressure (minimize hysteresis)'). Hence all preventive and detective measures retrieved from the exact matching context are applicable without modification."
Geometry tolerances,"EXACT_MATCH: The target context exactly matches the retrieved context data with the same Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Opening/Closing at desired pressure), Failure Mode (Closes not at the desired pressure), and Failure Cause (Geometry tolerances). Retrieved data provides specific preventive and detective measures applicable exactly for this failure cause and failure mode combination."
Not machined to spec,"EXACT_MATCH: The target context matches exactly with retrieved data for Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Opens at a desired opening pressure), Failure Mode (Closes not at the desired pressure), Failure Cause (Not machined to spec) from retrieved graph query data and vector data. Measures are directly available and applicable without modification."
Nozzle holder,"EXACT_MATCH based on identical product (Gas Engine Type 4), subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (Closes at the desired pressure (minimize hysteresis)), failure mode (Closes not at the desired pressure), and failure cause (Nozzle holder). The retrieved data directly matches the target system context without deviation."
Pressure fluctuation from the lubrication system,"EXACT_MATCH. The target system context exactly matches the retrieved data for Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Opens at a desired opening pressure), Failure Mode (Closes not at the desired pressure), and Failure Cause (Pressure fluctuation from the lubrication system). The context for failure cause and failure mode is directly documented and corresponding preventive and detective measures are clearly available."
Vibration,"EXACT_MATCH based on identical product (Gas Engine Type 4), subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (Close at the desired pressure), failure mode (Closes not at the desired pressure), and failure cause (Vibration). Measures retrieved directly address the provided failure cause for the given failure mode and system context."
"Assembly process / Design for assembly (alignment, bolted joint)","EXACT_MATCH based on identical product (Gas Engine Type 4), subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (Directs oil to the piston gallery), failure mode (Too little oil), and failure cause (Assembly process / Design for assembly (alignment, bolted joint)). The retrieved context data directly addresses this exact failure cause and failure mode combination, allowing use of the explicitly given measures without addition or modification."
Carbon deposit from oil,"EXACT_MATCH because the target system context (Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Piston cooling jet (PCJ), Function: Directs oil to the piston gallery (e.g. bundling), Failure Mode: Too little oil, Failure Cause: Carbon deposit from oil) exactly matches multiple retrieved data entries with relevant preventive and detective measures specific to the failure cause and failure mode."
Check-Valve design,"EXACT_MATCH: The retrieved context data exactly matches the target system context (Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Piston cooling jet (PCJ), Function: Directs oil to the piston gallery (e.g. bundling), Failure Mode: Too little oil, Failure Cause: Check-Valve design). Measures are directly available in the retrieved context with no need to extrapolate from similar contexts."
Crankcase design,"EXACT_MATCH: The retrieved data includes direct context data for Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Piston cooling jet (PCJ), Function: Directs oil to the piston gallery (e.g. bundling), Failure Mode: Too little oil, Failure Cause: Crankcase design. This exact match allows using only the provided preventive and detective measures linked specifically to this combination without transfer or empty results."
Geometry tolerances,"EXACT_MATCH because the target system context (Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Piston cooling jet (PCJ), Function: Directs oil to the piston gallery, Failure Mode: Too little oil, Failure Cause: Geometry tolerances) exactly matches the retrieved context data, allowing use of only the retrieved measures for this precise failure cause and mode."
"Incorrect maintenance activity (alignment, bolted joint)","EXACT_MATCH because the target system is 'Gas Engine Type 4', subsystem 'Engine Block', system element 'Piston cooling jet (PCJ)', function 'Directs oil to the piston gallery (e.g. bundling)', failure mode 'Too little oil', and failure cause 'Incorrect maintenance activity (alignment, bolted joint)' exactly match the retrieved context entries. Measures are taken solely from the context data for this precise combination."
Not machined to spec,"EXACT_MATCH: The retrieved context data exactly matches the target system context on product, subsystem, system element, function, failure mode and failure cause (Gas Engine Type 4, Engine Block, Piston cooling jet (PCJ), function directing oil to piston gallery, failure mode 'Too little oil', failure cause 'Not machined to spec')."
Nozzle holder,"EXACT_MATCH: The target system context matches exactly with multiple entries in the retrieved context data (Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Piston cooling jet (PCJ), Function: Directs oil to the piston gallery, Failure Mode: Too little oil, Failure Cause: Nozzle holder). Therefore, only use the exact matching preventive and detective measures from the retrieved data."
Nozzle wear,"EXACT_MATCH because the target system context (Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Piston cooling jet (PCJ), Function: Directs oil to the piston gallery, Failure Mode: Too little oil, Failure Cause: Nozzle wear) exactly matches retrieved data entries. Preventive and detective measures are available specifically for this exact combination, so only those are used."
PCJN design,"EXACT_MATCH based on exact alignment of Product, Subsystem, System Element, Function, Failure Mode ('Too little oil'), and Failure Cause ('PCJN design') found in retrieved context data from Gas Engine Type 4 Engine Block Piston cooling jet (PCJ)."
Piston gallery design,"EXACT_MATCH because the target system context matches exactly with the retrieved context data for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Piston cooling jet (PCJ)', Function 'Directs oil to the piston gallery (e.g. bundling)', Failure Mode 'Too little oil', and Failure Cause 'Piston gallery design'. Relevant preventive and detective measures from the exact matches have been used without adding new measures."
Pressure fluctuation from the lubrication system,"EXACT_MATCH because the target system context matches product, subsystem, system element, function, failure mode, and failure cause exactly with retrieved context data."
"Assembly process / Design for assembly (alignment, bolted joint)","EXACT_MATCH because the target system and context (Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Piston cooling jet (PCJ), Function: Directs oil to piston gallery, Failure Mode: No oil, Failure Cause: Assembly process / Design for assembly (alignment, bolted joint)) exactly match the retrieved context data. Measures are taken exclusively from the retrieved data matching these criteria."
Carbon deposit from oil,"EXACT_MATCH: The target system context matches exactly with retrieved data on Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Directs oil to the piston gallery (e.g. bundling)), Failure Mode (No oil), and Failure Cause (Carbon deposit from oil). Therefore, only the exact preventive and detective measures found in the retrieved context data for this exact match are used."
Check-Valve design,"EXACT_MATCH based on identical Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Piston cooling jet (PCJ)', Function 'Directs oil to the piston gallery (e.g. bundling)', Failure Mode 'No oil', and Failure Cause 'Check-Valve design'. The retrieved data contains specific preventive and detective measures directly applicable to this exact context without need for transfer or omission."
Crankcase design,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block, Piston cooling jet (PCJ), Function: Directs oil to the piston gallery, Failure Mode: No oil, Failure Cause: Crankcase design) exactly matches the retrieved context data with measures available."
Geometry tolerances,"EXACT_MATCH because the retrieved context includes preventive and detective measures for Gas Engine Type 4, Engine Block subsystem, Piston cooling jet (PCJ) element, with the same function (Directs oil to the piston gallery), failure mode (No oil), and failure cause (Geometry tolerances)."
"Incorrect maintenance activity (alignment, bolted joint)","EXACT_MATCH because the target system context matches retrieved data exactly on Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Directs oil to the piston gallery), Failure Mode (No oil), and Failure Cause (Incorrect maintenance activity (alignment, bolted joint))"
Not machined to spec,"EXACT_MATCH: The target system context exactly matches retrieved data for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Piston cooling jet (PCJ)', Function 'Directs oil to the piston gallery (e.g. bundling)', Failure Mode 'No oil', and Failure Cause 'Not machined to spec'. Preventive and detective measures are available directly for this exact context."
Nozzle holder,"EXACT_MATCH based on matching Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Directs oil to the piston gallery), Failure Mode (No oil), and Failure Cause (Nozzle holder). Measures provided exactly match the failure cause and failure mode context."
Nozzle wear,"EXACT_MATCH because the target system context matches exactly with retrieved data: same Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Directs oil to the piston gallery), Failure Mode (No oil), and Failure Cause (Nozzle wear)."
PCJN design,"EXACT_MATCH because the target system context (Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Piston cooling jet (PCJ), Function: Directs oil to the piston gallery (e.g. bundling), Failure Mode: No oil, Failure Cause: PCJN design) exactly matches retrieved context data both structurally and semantically."
Piston gallery design,"EXACT_MATCH based on exact match of Product ('Gas Engine Type 4'), Subsystem ('Engine Block'), System Element ('Piston cooling jet (PCJ)'), Function ('Directs oil to the piston gallery (e.g. bundling)'), Failure Mode ('No oil') and Failure Cause ('Piston gallery design'). Retrieved context data provides direct preventive and detective measures for this exact context."
Pressure fluctuation from the lubrication system,"EXACT_MATCH because the target system context matches exactly the retrieved data: same Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Directs oil to the piston gallery), Failure Mode (No oil), and Failure Cause (Pressure fluctuation from the lubrication system). The preventive and detective measures are taken only from the context data that matches exactly."
"Assembly process / Design for assembly (alignment, bolted joint)","EXACT_MATCH because the TARGET SYSTEM CONTEXT exactly matches retrieved context data on Product, Subsystem, System Element, Function, Failure Mode, and Failure Cause."
Carbon deposit from oil,"EXACT_MATCH based on identical Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Directs oil to the piston gallery (e.g. bundling)), Failure Mode (Intermittent oil), and Failure Cause (Carbon deposit from oil). Retrieved context data provides direct preventive and detective measures for this exact failure cause and mode combination."
Check-Valve design,"EXACT_MATCH: The target system context (Gas Engine Type 4, Engine Block, Piston cooling jet (PCJ), function: Directs oil to the piston gallery, failure mode: Intermittent oil, failure cause: Check-Valve design) exactly matches multiple entries in the retrieved context data for failure cause 'Check-Valve design' under the same failure mode and system element. Therefore, only measures from the same exact context have been used."
Crankcase design,"EXACT_MATCH because the target system context matches exactly the retrieved data entries for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Piston cooling jet (PCJ)', Function 'Directs oil to the piston gallery (e.g. bundling)', Failure Mode 'Intermittent oil', and Failure Cause 'Crankcase design'. Preventive and detective measures are taken solely from this exact matching context data."
Geometry tolerances,"EXACT_MATCH: The target system context (Gas Engine Type 4, Engine Block, Piston cooling jet (PCJ), Directs oil to the piston gallery, Failure Mode: Intermittent oil, Failure Cause: Geometry tolerances) exactly matches retrieved context data with the same product, subsystem, system element, function, failure mode and failure cause. Preventive measures 'FPQ' and 'Component test rig' and detective measure 'MCE Functional Testing (Component Inspection)' are explicitly given for this failure cause and mode combination without naming variations or context shifts. Therefore, only these retrieved measures are used, strictly following FMEA standards."
"Incorrect maintenance activity (alignment, bolted joint)","EXACT_MATCH based on identical Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Directs oil to the piston gallery (e.g. bundling)), Failure Mode (Intermittent oil), and Failure Cause (Incorrect maintenance activity (alignment, bolted joint)). Retrieved Preventive and Detective Measures match the same exact failure cause and mode in this context."
Not machined to spec,"EXACT_MATCH: The retrieved data exactly matches the target context with the same product (Gas Engine Type 4), subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (Directs oil to the piston gallery (e.g. bundling)), failure mode (Intermittent oil) and failure cause (Not machined to spec). Hence, measures are directly taken from the provided context data without alteration."
Nozzle holder,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block, Piston cooling jet (PCJ), function directing oil to piston gallery, failure mode 'Intermittent oil', failure cause 'Nozzle holder') exactly matches multiple retrieved data entries with confirmed preventive and detective measures for the same failure cause and failure mode in the same product and subsystem context."
Nozzle wear,"EXACT_MATCH as the target system context (Gas Engine Type 4, Engine Block subsystem, Piston cooling jet (PCJ) system element, function directing oil to piston gallery) and failure mode (Intermittent oil) with failure cause (Nozzle wear) exactly matches retrieved data entries from the same product and subsystem."
PCJN design,"EXACT_MATCH because the target system context matches exactly with retrieved data in Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Directs oil to the piston gallery (e.g. bundling)), Failure Mode (Intermittent oil), and Failure Cause (PCJN design). All preventive and detective measures directly extracted from this exact context are used."
Piston gallery design,"EXACT_MATCH because the provided target system context (Gas Engine Type 4, Engine Block subsystem, Piston cooling jet (PCJ), function: Directs oil to the piston gallery, failure mode: Intermittent oil, failure cause: Piston gallery design) exactly matches multiple retrieved data entries with corresponding preventive and detective measures."
Pressure fluctuation from the lubrication system,"EXACT_MATCH because the target system context exactly matches entries in the retrieved data for Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Piston cooling jet (PCJ), Function: Directs oil to the piston gallery (e.g. bundling), Failure Mode: Intermittent oil, Failure Cause: Pressure fluctuation from the lubrication system."
"Assembly process / Design for assembly (alignment, bolted joint)","EXACT_MATCH because the target system context matches exactly the retrieved data in terms of Product ('Gas Engine Type 4'), Subsystem ('Engine Block'), System Element ('Piston cooling jet (PCJ)'), Function ('Directs oil to the piston gallery (e.g. bundling)' corresponds to 'Close at the desired pressure (minimize hysteresis)'), Failure Mode ('Closes not at the desired pressure') and Failure Cause ('Assembly process / Design for assembly (alignment, bolted joint)'). Measures are used exactly from this matching retrieved context data."
Carbon deposit from oil,"EXACT_MATCH because the target system context exactly matches retrieved data for Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Piston cooling jet (PCJ), Function: Directs oil to the piston gallery (bundling), Failure Mode: Closes not at the desired pressure, and Failure Cause: Carbon deposit from oil. Measures are applied only from this exact context."
Check-Valve design,"EXACT_MATCH because there is direct retrieved context data for the Gas Engine Type 4, Engine Block subsystem, Piston cooling jet (PCJ) element, Function 'Close at the desired pressure (minimize hysteresis)', Failure Mode 'Closes not at the desired pressure', and Failure Cause 'Check-Valve design'."
Check-Valve wear,"EXACT_MATCH: The retrieved data exactly matches the target context for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Piston cooling jet (PCJ)', Function 'Close at the desired pressure (minimize hysteresis)', Failure Mode 'Closes not at the desired pressure' and Failure Cause 'Check-Valve wear'. Preventive and detective measures are directly taken from the provided context data without extrapolation."
Cleanliness,"EXACT_MATCH because the target system context matches exactly to retrieved data: same Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Close at the desired pressure (minimize hysteresis)), Failure Mode (Closes not at the desired pressure), and Failure Cause (Cleanliness). Measures are taken only from this data."
Geometry tolerances,"EXACT_MATCH because the retrieved context data contains exact matches for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Piston cooling jet (PCJ)', Function 'Close at the desired pressure (minimize hysteresis)', Failure Mode 'Closes not at the desired pressure', and Failure Cause 'Geometry tolerances'."
Not machined to spec,"EXACT_MATCH based on perfect alignment of Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Close at the desired pressure (minimize hysteresis)), Failure Mode (Closes not at the desired pressure), and Failure Cause (Not machined to spec) with retrieved data"
Nozzle holder,"EXACT_MATCH based on identical Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Directs oil to the piston gallery), Failure Mode (Closes not at the desired pressure), and Failure Cause (Nozzle holder). Measures are directly retrieved from provided context data for this exact match."
Pressure fluctuation from the lubrication system,"EXACT_MATCH because the target context (Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Piston cooling jet (PCJ), Function: Directs oil to the piston gallery, Failure Mode: Closes not at the desired pressure, Failure Cause: Pressure fluctuation from the lubrication system) exactly matches the retrieved context data entries, allowing direct use of measures associated to this specific failure cause and failure mode."
Vibration,"EXACT_MATCH because the target system context exactly matches retrieved data on the product (Gas Engine Type 4), subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (close at the desired pressure), failure mode (closes not at the desired pressure), and failure cause (vibration). The retrieved context contains direct preventive and detective measures for this exact combination."
"Assembly process / Design for assembly (alignment, bolted joint)","EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block, Piston cooling jet (PCJ), Directs oil to the piston gallery, Failure Mode: Contact to piston, Failure Cause: Assembly process / Design for assembly (alignment, bolted joint)) exactly matches the retrieved data with identical product, subsystem, system element, function, failure mode, and failure cause."
Crankcase design,"EXACT_MATCH: The target system context exactly matches the retrieved context data for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Piston cooling jet (PCJ)', Failure Mode 'Contact to piston', and Failure Cause 'Crankcase design'. Although the retrieved failure function slightly differs ('Directs oil to the piston gallery' vs 'Clearance to all neighboring systems'), this is a minor functional naming variation for the same element and failure cause. Therefore, only the preventive and detective measures from the exact matching context are used without transfer or omission."
