function,analysis_decision
Clearance to crankcase,"EXACT_MATCH because the target system context matches perfectly with retrieved data: Product is 'Gas Engine Type 4', Subsystem is 'Engine Block', System Element is 'Cylinder liner assembly', and Function is 'Clearance to crankcase'. The retrieved failure modes, failure causes, and failure effects directly correspond to this exact combination with no need to extrapolate or generate new data beyond what is retrieved."
Provide coolant flow route to liner and cylinder head,"EXACT_MATCH: The retrieved data matches exactly the target system context with the same product (Gas Engine Type 4), subsystem (Engine Block), system element (Cylinder liner assembly), and function (Provide coolant flow route to liner and cylinder head). Therefore, only failure modes, failure effects, and failure causes from the retrieved data are used strictly without creating new modes or causes. The provided failure modes include insufficient flow distribution, inadequate heat transfer, insufficient degassing, etc., all coherently aligned with the coolant flow routing function. Failure effects and causes are technically consistent and represent the real risks such as engine damage due to overheating or coolant inefficiency owing to design or maintenance factors."
Sealing of coolant jacket,"EXACT_MATCH because the retrieved data matches the target system context exactly: Product is Gas Engine Type 4, Subsystem is Engine Block, System Element is Cylinder liner assembly, and Function is Sealing of coolant jacket. Therefore, only failure modes, failure effects, and failure causes from the retrieved data specifically relating to this exact context are used without adding new failure modes or causes."
Containment of combustion gases,"EXACT_MATCH based on retrieved data exactly matching the target system context: Product Gas Engine Type 4, Subsystem Engine Block, System Element Cylinder liner assembly, and its Function Containment of combustion gases. The retrieved data covers relevant failure modes (e.g., insufficient containment, cavitation failure), their corresponding failure effects (coolant leakage into combustion chamber), and failure causes (liner design, coolant flow route design, geometry tolerances) with technical detail adhering to FMEA standards."
Transmit heat to water jacket,"EXACT_MATCH because the retrieved data provides failure modes, effects, and causes specifically for the Cylinder liner assembly in the Engine Block subsystem of the Gas Engine Type 4 product, matching exactly the target system context. This allows direct use of the provided detailed technical failure data without the need for adaptation or expansion beyond the retrieved sources."
Provide structural support to APR,"EXACT_MATCH because the retrieved data explicitly matches the target system context (Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Cylinder liner assembly, Function: Provide structural support to APR). Therefore, only failure modes, effects, and causes found in the exact context are used without addition or modification."
Sealing between cylinder gasket and liner,"EXACT_MATCH because the retrieved data exactly matches the target system context for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Cylinder liner assembly' and the function 'Sealing between cylinder gasket and liner'. All failure modes, failure causes, and failure effects are consistent with the exact element and function defined in the retrieved data. Therefore, only the retrieved relevant data is used without any additional generation beyond what is already described."
Provide load path from CH to crankcase,"EXACT_MATCH - The retrieved data contains direct, exact matches for the same product (Gas Engine Type 4), subsystem (Engine Block), system element (Cylinder liner assembly), and function (Provide load path from CH to crankcase). The failure modes, failure effects, and failure causes provided are specific and technically accurate relative to this context. They include multiple distinct failure modes such as insufficient contact at multiple interfaces (gasket-liner, head-gasket, liner-crankcase), with corresponding failure effects like liner cracks causing engine shutdown and combustion gas leakage, and multiple causes including design, assembly, machining, and maintenance. Therefore, only the retrieved data will be used without generating new failure modes or causes."
Guidance for power unit,"EXACT_MATCH based on the provided data: The target system context exactly matches the retrieved data in Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Cylinder liner assembly), and Function (Guidance for power unit). The failure modes, effects, and causes are explicitly documented for this exact context, allowing for direct use without generating new failure modes or causes."
Absorption of piston loads,"EXACT_MATCH because the retrieved data contains failure modes, failure causes, and failure effects that exactly match the target product (Gas Engine Type 4), subsystem (Engine Block), system element (Cylinder liner assembly), and its specified function (Absorption of piston loads). The failure modes, effects, and causes are already technically defined and specified, therefore no new generation or adaptation is required."
Directs/leads oil to cylinder liner assembly,"EXACT_MATCH because the retrieved data exactly matches the target system context in terms of Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Crankcase), and Function (Directs/leads oil to cylinder liner assembly). The retrieved failure modes, failure effects, and failure causes are specific, technically accurate, and comprehensive with respect to this exact application. Therefore, only the retrieved context data is used to generate failure modes, effects, and causes, without adding new speculative entries."
Directs/leads oil to lubrication system,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block subsystem, Crankcase element, function: Directs/leads oil to lubrication system) matches exactly the retrieved data context for failure modes, failure effects, and failure causes specific to this combination. The retrieved data contains multiple failure modes, effects, and causes explicitly defined for this exact system element and function. Therefore, only the retrieved context data was used without introducing new failure modes, causes, or effects."
Directs/leads Oil-Gas Mixture to CCV (blow-by) system,"EXACT_MATCH based on retrieved data: The target system context (Gas Engine Type 4, Engine Block subsystem, Crankcase element with function to direct/lead Oil-Gas Mixture to CCV blow-by system) exactly matches multiple entries in the retrieved data. The failure modes, effects, and causes are well documented and specific to this element and function within the same product and subsystem context. Therefore, only failure modes, effects, and causes found in the retrieved data are used without generating new or adapted failures."
Contact to cylinder head assembly,"EXACT_MATCH due to the presence of failure modes, effects and causes specifically for the 'Gas Engine Type 4', subsystem 'Engine Block', system element 'Crankcase' and function 'Contact to cylinder head assembly' provided in the retrieved data. All identified failure modes, effects, and causes match exactly the queried element and function, conforming fully with the criteria of exact matching."
Directs/leads Air/Gas/Mixture to cylinder head assembly,"EXACT_MATCH because the target system context exactly matches the retrieved context data in terms of Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Crankcase), and Function (Directs/leads Air/Gas/Mixture to cylinder head assembly). The data retrieved contains multiple failure modes, effects, and causes directly related to this specific system element and function for this product. Therefore, only the retrieved failure modes, effects, and causes are used without generating new ones beyond those found."
Contact to CCV (blow-by) system,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block subsystem, Crankcase element, function: Contact to CCV (blow-by) system) exactly matches retrieved context data including failure modes, effects and causes for this specific combination; the data contains multiple failure modes and their related failure effects and causes directly in the same context without introducing unrelated elements or differing functions."
Contact to V-room isolation,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block, Crankcase, function Contact to V-room isolation) exactly matches the retrieved context including the same product, subsystem, system element and function. The retrieved data provides specific failure modes, failure effects, and causes directly associated with this combination without introducing unrelated elements. Therefore, only the retrieved data is used with no additional generation beyond what is contained in the provided context."
Crankcase provides support to V-room structure,"EXACT_MATCH because the target system context (Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Crankcase, Function: Crankcase provides support to V-room structure) exactly matches multiple retrieved entries with the same product, subsystem, system element, and function context according to the RAG data. Therefore, only the failure modes, failure effects, and failure causes found in the retrieved data are used without adding new failure scenarios."
Sealing against leakages coolant,"EXACT_MATCH because the retrieved data perfectly matches the target system context: same product (Gas Engine Type 4), subsystem (Engine Block), system element (Crankcase), and function (Sealing against leakages coolant). The failure modes, failure effects, and failure causes extracted are directly applicable and adhere strictly to the FMEA technical accuracy requirements without introducing any new speculative failures."
Provides structural support for internal components,"EXACT_MATCH because the retrieved data contains failure modes, failure effects, and failure causes directly related to the 'Crankcase' system element within the 'Engine Block' subsystem of the 'Gas Engine Type 4' product, performing the exact function 'Provides structural support for internal components'. All failure information is consistent and contextually appropriate to the target system context."
Provide gas mixture route to cylinder head,"EXACT_MATCH - The target system context (Gas Engine Type 4, Engine Block subsystem, Crankcase system element, function: Provide gas mixture route to cylinder head) matches exactly with retrieved data from the RAG, including failure modes, causes, and effects directly related to the crankcase performing the gas mixture routing function. Therefore, the failure modes, causes, and effects are directly reused from retrieved data without generating new or adapted entries, ensuring strict adherence to technical accuracy and FMEA standards."
Sealing against leakages oil,"EXACT_MATCH because the target product (Gas Engine Type 4), subsystem (Engine Block), system element (Crankcase), and function (Sealing against leakages oil) match exactly with the retrieved data, allowing the direct use of documented failure modes, failure causes, and failure effects without addition or adaptation."
Transmission of energy between crankcase and CCV,"EXACT_MATCH - The target system context matches exactly the retrieved data for the product (Gas Engine Type 4), subsystem (Engine Block), system element (Crankcase), and function (Transmission of energy between crankcase and CCV). Thus, only failure modes, causes, and effects from the retrieved context data are used without adding new failure modes or causes not present in the data. The failure modes identified relate to vibration-induced issues, sealing problems, flow path disturbances, and pressure exceeding limits which are appropriate and context-specific to this crankcase function."
Allow for venting locations for coolant circuit,"EXACT_MATCH because the retrieved data exactly matches the target system context with respect to Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Crankcase), and Function (Allow for venting locations for coolant circuit). The failure modes, effects, and causes provided are specifically focused on this exact combination, and all align with the technical and FMEA requirements without introducing any new failure types or causes beyond the retrieved data."
(Ensure that no air is in the coolant circuit),"EXACT_MATCH - The retrieved data exactly matches the target system context including Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Crankcase), and Function (Ensure that no air is in the coolant circuit). Failure modes, effects, and causes for this system element and function are clearly identified in the retrieved data with no need for extrapolation or adaptation."
Provide coolant flow route to cylinder liner,"EXACT_MATCH because the target system context matches exactly with the retrieved data on Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Crankcase), and Function (Provide coolant flow route to cylinder liner). Therefore, only failure modes, causes, and effects from the provided retrieved data with the exact same context are used without introducing new failure modes or causes."
Sealing against leakages gas mixture,"EXACT_MATCH - The target system context is 'Gas Engine Type 4' with subsystem 'Engine Block', system element 'Crankcase' and function 'Sealing against leakages gas mixture'. Retrieved data contains exact matches for this combination including failure modes, effects and causes specifically related to crankcase sealing gas mixture leakage. The failure modes and associated causes and effects are directly applicable with no need for creative generation or adaptation, fully meeting FMEA standards and technical accuracy requirements."
Contact / Fit to PCJ,"EXACT_MATCH because the target system context exactly matches the retrieved data with Product, Subsystem, System Element and Function fully aligned (Gas Engine Type 4, Engine Block, Crankcase, Contact / Fit to PCJ). The provided failure modes, effects, and causes are directly relevant to the Crankcase function of Contact / Fit to PCJ in this system context and no new failure modes or causes outside of the retrieved data should be generated."
Provides installation space for sensors,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block subsystem, Crankcase system element, function: Provides installation space for sensors) exactly matches retrieved context entries in terms of product, subsystem, system element, and function. The retrieved data includes failure modes, failure effects, and failure causes specifically for the Crankcase and its function of providing installation space for sensors in the Gas Engine Type 4. Therefore, only failure modes, failure effects, and failure causes directly from this exact context are used without adding new modes or causes."
Provides installation space for cable routing,"EXACT_MATCH based on the retrieved data matching exactly the Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Crankcase), and the same Function (Provides installation space for cable routing). The retrieved failure modes, effects, and causes are explicitly linked to the Crankcase element in the Gas Engine Type 4 engine block subsystem with this specific function. Therefore, no new failure modes, effects, or causes will be generated beyond the retrieved data in order to maintain strict adherence to FMEA standards and accuracy."
Seal the crankcase,"DIFFERENT_CONTEXT with detailed reasoning: No exact match failure data for 'Front end housing (damper housing)' with the function 'Seal the crankcase' was retrieved in the Gas Engine Type 4 Engine Block subsystem. Retrieved failure data relates mostly to other elements such as Crankcase, V-room insulation, and CCV system with sealing or leakage functions but not specifically to the front end housing sealing. Although the system category and subsystem are matching, the system element and function are sufficiently distinct, requiring multi-perspective brainstorming combined with adaptation of relevant retrieved failure modes and causes where applicable to generate technically accurate failure modes, effects, and causes for the front end housing sealing function."
Provide structural support,"EXACT_MATCH based on same Product (Gas Engine Type 4), same Subsystem (Engine Block), same System Element (Front end housing - damper housing), and same Function (Provide structural support). The retrieved data includes failure modes, causes, and effects directly related to the Front end housing's structural function, particularly related to support issues, vibration, assembly and design tolerances. No additional failure modes outside the retrieved data are introduced to maintain compliance with EXACT_MATCH criteria."
Provide installation space for cable routing,"EXACT_MATCH: The target system context is 'Gas Engine Type 4', subsystem 'Engine Block', system element 'Front end housing (damper housing)', with the function 'Provide installation space for cable routing'. The retrieved data contains exact matches for this same product, subsystem, system element, and function combination. Therefore, failure modes, failure effects, and failure causes are generated strictly from the found retrieved data related to the Front end housing (damper housing) for cable routing installation function without introducing new failure modes beyond retrieved data."
Direct oil to the crankcase,"DIFFERENT_CONTEXT with detailed reasoning: The target system element 'Front end housing (damper housing)' in the 'Engine Block' subsystem of 'Gas Engine Type 4' has the specific function to 'Direct oil to the crankcase'. No exact or closely matching failure mode data exists for this element-function combination in the retrieved database. Relevant retrieved failure data relate mostly to 'Crankcase' and 'V-room insulation' components directing or sealing oil, which are neighboring or related engine block components but not the exact element targeted. Hence, this represents a fundamentally different functional element with unique structural and flow path characteristics. Therefore, a multi-perspective brainstorming effort using internal knowledge and adapted retrieved patterns is applied to generate technically accurate and context-appropriate failure modes, causes, and effects applicable for the 'Front end housing' oil directing function."
Receive oil from turbocharger oil circuit,"DIFFERENT_CONTEXT with detailed reasoning: The target system element is 'Front end housing (damper housing)' with the function 'Receive oil from turbocharger oil circuit' in the 'Engine Block' subsystem of a 'Gas Engine Type 4' product. The retrieved data contains no exact matches for this specific system element and function combination in the engine front-end housing context; however, there is a directly applicable failure mode related to oil leakage in the 'Front end housing (damper housing)' component. This allows exact transfer of relevant failure data for this element/function. Other retrieved failure modes pertain mainly to the crankcase and related oil circuit parts, not this component specifically, so they are not directly applicable but inform broader understanding. Given the absence of exact-match broader failure modes related to oil flow reception from turbocharger and focus on sealing/oil leakage, the decision is DIFFERENT_CONTEXT with partial exact-match transfer for leakage failure, supplemented by standard multi-perspective brainstorming on possible failure modes related to this function (oil reception). This includes potential oil flow interruptions and functional fluctuations relevant to a housing receiving oil, and related failure causes like assembly, sealing, and design errors, consistent with known engine front-end housing failure patterns. Thus, failure modes, effects and causes are generated based on the retrieved failure mode 'Oil leakage' of the 'Front end housing (damper housing)', as well as logical extension of failure modes possible for oil receiving and conducting function including oil delivery interruption and functional fluctuation due to contamination or mechanical damage, aligned with FMEA standards and technical accuracy."
Provide installation space for sensors,"EXACT_MATCH because the retrieved data includes failure modes, effects, and causes specific to the 'Front end housing (damper housing)' component within the 'Engine Block' subsystem of 'Gas Engine Type 4', for the exact function 'Provides installation space for sensors'. The system element, subsystem, product, and function all exactly match the target context, ensuring accurate and directly applicable failure data without need for adaptation or brainstorming beyond retrieved content."
Direct coolant to the crankcase,"DIFFERENT_CONTEXT with detailed reasoning: No exact context or retrieved failure modes, effects, or causes are found specifically for the Front end housing (damper housing) with the function 'Direct coolant to the crankcase' in the Engine Block subsystem of Gas Engine Type 4. Existing data covers coolant-related failures primarily within the crankcase or related coolant flow routes but not specifically the front end housing directing coolant. The front end housing’s coolant directing function implies coolant flow path/channeling, sealing interfaces, and structural support for coolant routing. This context differs enough from retrieved data focused on crankcase coolant flow or sealing to justify a differentiated failure mode analysis. Therefore, a multi-perspective brainstorming approach is applied, considering design, development, testing, and after-sales perspectives to formulate plausible technical failure modes, their related effects, and causes relevant to coolant directing function of front end housing. Existing knowledge about coolant flow failures, leakage, structural integrity, and sealing within engine blocks informs this generation."
Seals the crankshaft,"EXACT_MATCH: The retrieved data exactly matches the target system context in product (Gas Engine Type 4), subsystem (Engine Block), system element (Rear end cover (flywheel side)), and function (Seals the crankshaft). Therefore, only failure modes, effects, and causes from this exact context are used without introducing any new failure items."
Seals the crankcase,"EXACT_MATCH because the target system context is Gas Engine Type 4, subsystem Engine Block, system element Rear end cover (flywheel side) with function 'Seals the crankcase', and there are retrieved failure modes, effects, and causes specifically for this exact system element and function combination from the retrieved data."
Fixes/locates crankshaft locking device (pin),"EXACT_MATCH based on exact correspondence of Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), and Function (Fixes/locates crankshaft locking device (pin)) in retrieved data. The retrieved data fully covers the failure modes, effects, and causes for this element and function, respecting naming variations. Therefore, no new failure modes/cause/effects beyond those retrieved are generated."
Provides installation space for sensors (flywheel and coupling magnetic pickup e.g. impulse driver),"EXACT_MATCH: The target system context matches exactly with retrieved data in terms of Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), and Function (Provides installation space for sensors (flywheel and coupling magnetic pickup e.g. impulse driver)). Thus, only failure modes, effects, and causes found in the retrieved data are used without introducing new or speculative items. The failure modes revolve primarily around incorrect sensor positioning. Related failure effects include increased service effort and damage during service. Multiple failure causes are identified consistently in retrieved data, such as crankcase design, assembly process/design for assembly, bolted joint design, geometry tolerances/wrong tolerance specification, starter system, and rear end cover design."
Provides installation space for flywheel,"EXACT_MATCH because the retrieved data exactly matches the target system context: product is Gas Engine Type 4, subsystem is Engine Block, system element is Rear end cover (flywheel side), and the function is Provides installation space for flywheel. The retrieved failure modes, causes, and effects are directly relevant and specific to this component and its function. According to the CONTEXT ANALYSIS DECISION MATRIX, only these retrieved failure modes, causes, and effects should be used without generating any new ones."
Provides installation space for cable routing,"EXACT_MATCH because the retrieved data contains failure modes, failure effects and causes explicitly related to the 'Rear end cover (flywheel side)' system element within the 'Engine Block' subsystem of the 'Gas Engine Type 4' product, matching the exact function 'Provides installation space for cable routing'. The failure data strictly corresponds to the target system element and function with no need for adaptation or generation beyond the retrieved context, thus aligning with EXACT_MATCH criteria."
Provides installation space for flywheel locking (dock),"EXACT_MATCH because the target product (Gas Engine Type 4), subsystem (Engine Block), system element (Rear end cover (flywheel side)), and function (Provides installation space for flywheel locking (dock)) exactly match the retrieved context data. All failure modes, effects, and causes are directly derived from the available data within the same product and functional context. No additional modes or causes outside retrieved data are generated to maintain FMEA standards and technical accuracy."
Provides installation space for mainainance cover,"EXACT_MATCH because the retrieved data exactly fits the target context: same Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), and Function (Provides installation space for maintenance cover). The failure modes, failure effects, and failure causes are all directly from verified retrieved data, fully adhering to FMEA standards without introducing unsupported failure modes or causes."
Provides maintainance space for removing camshaft,"EXACT_MATCH because the target system context of Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Rear end cover (flywheel side), and its function 'Provides maintenance space for removing camshaft' exactly matches the retrieved RAG data entries. Therefore, only the failure modes, effects, and causes found in the retrieved data for this exact combination are used without generating any new ones."
"Provides structural support (e.g. starter motos, oil pan)","EXACT_MATCH: The retrieved data perfectly matches the target system context with identical Product, Subsystem, System Element, and Function. The failure modes, failure effects, and failure causes are all explicitly provided in the retrieved data for the Rear end cover (flywheel side) of Gas Engine Type 4 engine block. Therefore, only failure modes, effects, and causes from this exact context data are used without any additions or extrapolations."
Provices structural support for bell housing,"EXACT_MATCH: The retrieved data includes directly matching product (Gas Engine Type 4), subsystem (Engine Block), system element (Rear end cover (flywheel side)) and function (Provides structural support for bell housing) with detailed documented failure modes, failure effects, and failure causes. Therefore, according to the decision matrix, only the retrieved exact context data is used without introducing new failure modes, effects, or causes."
Directs/leads oil to gears,"EXACT_MATCH based on exact match for Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), and Function (Directs/leads oil to gears). The retrieved data provides a comprehensive and detailed set of failure modes, effects, and causes specific to this exact context. Therefore, only the provided failure modes, failure effects, and failure causes from the retrieved data are used without generating new or adapted modes."
Provides oil jet to gears (e.g. positioning),"EXACT_MATCH: The retrieved data exactly matches the target system context with the same Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), and Function (Provides oil jet to gears (e.g. positioning)). Therefore, only the failure modes, effects, and causes found in the retrieved data are used, without introducing new failure information beyond those."
Insulates the gas from heat of the crankcase (20),"EXACT_MATCH because the target system element 'V-room insulation' and its function 'Insulates the gas from heat of the crankcase (20)' in the 'Engine Block' subsystem of 'Gas Engine Type 4' product are exactly represented in the retrieved data. The failure modes, effects, and causes are directly provided from the specific system context without extending beyond the retrieved dataset, fully complying with the EXACT_MATCH criteria."
Allows Air/Gas/Mixture through the crankcase,"EXACT_MATCH based on full correspondence between target system context (Gas Engine Type 4, Engine Block, V-room insulation, function allowing Air/Gas/Mixture through the crankcase) and retrieved failure mode data explicitly describing the same product, subsystem, system element, and function. The retrieved data provides detailed technical failure modes, failure effects, and failure causes precisely for V-room insulation in the engine block of this gas engine type. Hence, only the retrieved context data are used without inventing new failure modes, effects or causes."
Allows Air/Gas/Mixture to cylinder head,"EXACT_MATCH: The retrieved data exactly matches the target system context with the same Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (V-room insulation), and Function (Allows Air/Gas/Mixture to cylinder head). The failure modes, failure effects, and failure causes are derived strictly from the retrieved context data. No new failure modes, causes, or effects are generated beyond those found in the data, in compliance with exact match rules and FMEA standards."
Sealing to lower crankcase,"EXACT_MATCH - The retrieved data exactly matches the target system context with respect to Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (V-room insulation), and Function (Sealing to lower crankcase). All reported failure modes, effects, and causes are specifically related to this element and function within this exact system. Therefore, generation uses only existing retrieved data without introducing new failure modes or causes outside the data."
Sealing to upper crankcase,"EXACT_MATCH because the target system context matches exactly the retrieved context data in product (Gas Engine Type 4), subsystem (Engine Block), system element (V-room insulation), and function (Sealing to upper crankcase). Therefore, only failure modes, effects and causes from the retrieved data related exactly to the V-room insulation sealing to the upper crankcase function are used without adding or inventing new failure data."
